id,type,name
basket composed of market indices,Entity,basket composed of market indices
MarketRate,Entity,MarketRate
N1f4e65ceadc24eac87e1df6a133e3dec,Entity,N1f4e65ceadc24eac87e1df6a133e3dec
"Copyright (c) 2018-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2018-2023 Object Management Group, Inc."
Na0f3a225d100451d8a46d0fc81d4f42f,Entity,Na0f3a225d100451d8a46d0fc81d4f42f
DatedCollectionConstituent,Entity,DatedCollectionConstituent
Baskets Ontology,Entity,Baskets Ontology
Security,Entity,Security
"Baskets.rdf version of this ontology was revised to reflect the move of dated collections from arrangements to financial dates, and replace 'involves' with 'comprises' for consistency across basket definitions.",Entity,"Baskets.rdf version of this ontology was revised to reflect the move of dated collections from arrangements to financial dates, and replace 'involves' with 'comprises' for consistency across basket definitions."
N0169397d3a154ae995f4bad2c7bdc219,Entity,N0169397d3a154ae995f4bad2c7bdc219
22-rdf-syntax-ns#nil,Entity,22-rdf-syntax-ns#nil
owl#Restriction,Entity,owl#Restriction
single constituent of a basket of indices,Entity,single constituent of a basket of indices
Neda6774a35e04e689ee5d425b4501625,Entity,Neda6774a35e04e689ee5d425b4501625
N79cc01de325a431a850f40b37d362796,Entity,N79cc01de325a431a850f40b37d362796
mixed basket,Entity,mixed basket
Baskets.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,Entity,Baskets.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.
securities basket constituent,Entity,securities basket constituent
market basket,Entity,market basket
BasketOfIndices,Entity,BasketOfIndices
,Entity,
"Baskets.rdf version of this ontology was revised to augment the definitions of various baskets to include weighting and to be dated, as needed to represent various benchmarks and funds based on these baskets.",Entity,"Baskets.rdf version of this ontology was revised to augment the definitions of various baskets to include weighting and to be dated, as needed to represent various benchmarks and funds based on these baskets."
DatedStructuredCollection,Entity,DatedStructuredCollection
EconomicIndicator,Entity,EconomicIndicator
Release,Entity,Release
N83e4d6a5ed3d4985b1f99092eb4dcf3b,Entity,N83e4d6a5ed3d4985b1f99092eb4dcf3b
1,Entity,1
WeightedBasket,Entity,WeightedBasket
owl#Class,Entity,owl#Class
N59a9adb368834775a99713e30105dac5,Entity,N59a9adb368834775a99713e30105dac5
N80b553b13d7042feb7446020f0052ac8,Entity,N80b553b13d7042feb7446020f0052ac8
BasketOfIndicesConstituent,Entity,BasketOfIndicesConstituent
hasDateAdded,Entity,hasDateAdded
security identified as a component of a basket of securities,Entity,security identified as a component of a basket of securities
"basket that has a mix of constituents, including securities and indices",Entity,"basket that has a mix of constituents, including securities and indices"
BasketOfSecurities,Entity,BasketOfSecurities
"Baskets.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate.",Entity,"Baskets.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate."
basket of securities,Entity,basket of securities
"For example, certain equities derivatives have an underlying basket which is a basket of more than one index, not a basket of securities.",Entity,"For example, certain equities derivatives have an underlying basket which is a basket of more than one index, not a basket of securities."
N812d6ba06b04466cb598639d866f9d16,Entity,N812d6ba06b04466cb598639d866f9d16
ExplicitDate,Entity,ExplicitDate
owl#Ontology,Entity,owl#Ontology
"basket composed of securities, typically of a particular asset class such as equities or bonds",Entity,"basket composed of securities, typically of a particular asset class such as equities or bonds"
N678060f57235440d9edc27de35a516ca,Entity,N678060f57235440d9edc27de35a516ca
basket Of indices constituent,Entity,basket Of indices constituent
comprises,Entity,comprises
MixedBasket,Entity,MixedBasket
hasConstituent,Entity,hasConstituent
WeightedBasketConstituent,Entity,WeightedBasketConstituent
N267ca69d4cbe479ca832a98c47fd207c,Entity,N267ca69d4cbe479ca832a98c47fd207c
MIT,Entity,MIT
Ndba1df17396a4e6c906242aac9407a08,Entity,Ndba1df17396a4e6c906242aac9407a08
"Baskets.rdf version of this ontology was revised to add the date a given constituent is added to a basket, and use involves rather than hasIdentity to link a security or index to the basket constituent it is referenced by.",Entity,"Baskets.rdf version of this ontology was revised to add the date a given constituent is added to a basket, and use involves rather than hasIdentity to link a security or index to the basket constituent it is referenced by."
Nb2fa896822db4953bdffc155ecba5fdd,Entity,Nb2fa896822db4953bdffc155ecba5fdd
SecuritiesBasketConstituent,Entity,SecuritiesBasketConstituent
"or market rates, and identifies the elements that can be constituents of a such a basket.",Entity,"or market rates, and identifies the elements that can be constituents of a such a basket."
"Copyright (c) 2016-2023 EDM Council, Inc.",Entity,"Copyright (c) 2016-2023 EDM Council, Inc."
