source_id,target_id,relationship
hasFloor,XMLSchema#decimal,rdf-schema#range
MunicipalTrustee,or transfer agent for the bonds.,explanatoryNote
SpecialTaxBond,SecuredBond,rdf-schema#subClassOf
VariableIncomeBond,owl#Class,22-rdf-syntax-ns#type
hasPremiumAmount,CallFeature,rdf-schema#domain
N5258318afe9e4b63b53d0b39a7802606,N24a9f86cb0234eb593a1611a6742aa2d,owl#someValuesFrom
hasFirstPutPrice,MonetaryPrice,rdf-schema#range
N8bdcea4850114c53a7104cbacae76d25,registers,owl#onProperty
BondCoupon,nominal yield,synonym
PercentageCumulativeAverageValue,rate basis calculated as a percentage of cumulative average value,core#definition
SpecialAssessmentBond,MunicipalBond,rdf-schema#subClassOf
hasResetDateOffset,hasDate,rdf-schema#subPropertyOf
BondVariableCoupon,bond coupon that has a variable interest rate,core#definition
BondAmortizationPaymentTerms,N6ecdcef7eaf94cd0bd57b452899f0f10,rdf-schema#subClassOf
isBankQualified,"indicates whether or not a given municipal bond conforms with section 265(b)(3) of the IRS tax code; when purchased by a commercial bank for its portfolio, such designation allows the bank to deduct a portion of the interest cost of carry for the position",core#definition
StripBond,Strip,rdf-schema#subClassOf
SecuredBond,"bond that is backed by collateral, such as a tangible asset or income stream, in addition to a general promise to pay",core#definition
Nba7c2cf26b15431bbfa3504d8534442b,XMLSchema#decimal,owl#onDataRange
BondWithWarrant,"This need not be any specific type of bond. This is NOT a kind of Bond Contract but a kind of Issue Offer, and is modeled as such, in the Issuance Terms section of the model. This class of contract is retained in the model for now in order to provide traceability with the CFI term for ""Bond With Warrant"" only.",core#editorialNote
StripBond,ZeroCouponBond,rdf-schema#subClassOf
ZeroCouponTerms,terms for payment of interest on a zero coupon bond,core#definition
CallableBond,bond that includes a stipulation allowing the issuer the right to repurchase and retire the bond at the call price after the call protection period,core#definition
PartialCallFeature,owl#Class,22-rdf-syntax-ns#type
,"Bonds.rdf version of this ontology was revised to eliminate false positives in hygiene tests due to concept names containing words, such as 'and', which might indicate that the concept actually reflects more than one thing, including distinguishing zero coupon from original issue discount bonds, and replace the use of call price and put price, which are overly constrained, with monetary price.",core#changeNote
Nace469d7ecb94f339820b369892355fd,owl#Restriction,22-rdf-syntax-ns#type
CouponPayment,owl#Class,22-rdf-syntax-ns#type
hasPartialRedemptionAllocationConvention,PartialCallFeature,rdf-schema#domain
VariableDebtPrincipal,Ncf1e8724e0694d1a936268944f1b1f23,rdf-schema#subClassOf
hasFirstParCallDate,hasStartDate,rdf-schema#subPropertyOf
,"Bonds.rdf version of this ontology was revised to eliminate references to the exercise conventions ontology, which are not needed for bonds.",core#changeNote
