id,type,name
StripBond,Entity,StripBond
"government bond that may be issued by a regional, rather than national, authority",Entity,"government bond that may be issued by a regional, rather than national, authority"
UnlistedBond,Entity,UnlistedBond
treasury bill,Entity,treasury bill
"For example, when a hurricane destroys the police and emergency services building, there is no time to go through the process of voter referendum. The local council must be able to borrow the money to set up provisional buildings and necessary equipment for police and emergency services so that the community is served in continuity.",Entity,"For example, when a hurricane destroys the police and emergency services building, there is no time to go through the process of voter referendum. The local council must be able to borrow the money to set up provisional buildings and necessary equipment for police and emergency services so that the community is served in continuity."
bond whose coupon rate and principal amount are fixed at the time of origination or sale and remain constant while the security is outstanding,Entity,bond whose coupon rate and principal amount are fixed at the time of origination or sale and remain constant while the security is outstanding
bond registrar,Entity,bond registrar
hasFirstCouponPaymentDate,Entity,hasFirstCouponPaymentDate
PrincipalRepaymentTerms,Entity,PrincipalRepaymentTerms
bond that is part of a series of bonds formed by selling each interest payment and the principal amount of a bond as separate zero coupon bonds.,Entity,bond that is part of a series of bonds formed by selling each interest payment and the principal amount of a bond as separate zero coupon bonds.
remarketable bond,Entity,remarketable bond
T-bill,Entity,T-bill
Nfe56cc9c712e411dbd17a58573243aba,Entity,Nfe56cc9c712e411dbd17a58573243aba
hasRelativePriceAtMaturity,Entity,hasRelativePriceAtMaturity
gilt-edged security,Entity,gilt-edged security
PartialRedemptionAllocationConvention,Entity,PartialRedemptionAllocationConvention
N9289098387b74246b1c94851c1d91399,Entity,N9289098387b74246b1c94851c1d91399
indicates the convention used to determine how the redemption is allocated over the set of bond holders,Entity,indicates the convention used to determine how the redemption is allocated over the set of bond holders
hasArgument,Entity,hasArgument
VariablePrincipalBond,Entity,VariablePrincipalBond
indicates the amount of the call on the first call date as specified in the call schedule,Entity,indicates the amount of the call on the first call date as specified in the call schedule
isPlayedBy,Entity,isPlayedBy
equity linked bond,Entity,equity linked bond
Full faith and credit bonds are typically backed by a government entity and are considered low risk.,Entity,Full faith and credit bonds are typically backed by a government entity and are considered low risk.
InterestPaymentSchedule,Entity,InterestPaymentSchedule
hasLastCouponPaymentDate,Entity,hasLastCouponPaymentDate
N24a9f86cb0234eb593a1611a6742aa2d,Entity,N24a9f86cb0234eb593a1611a6742aa2d
floating rate note,Entity,floating rate note
bond issued by the government of a country,Entity,bond issued by the government of a country
TIPS,Entity,TIPS
is linked to fallback,Entity,is linked to fallback
MunicipalSecurity,Entity,MunicipalSecurity
bond amortization payment terms,Entity,bond amortization payment terms
U.K. Government security,Entity,U.K. Government security
government bond,Entity,government bond
