source_id,target_id,relationship
CollectiveInvestmentVehicle,N3089fa7b620a4fda8aa87f1652727a63,rdf-schema#subClassOf
N409e672dc0254616a2e5aeb9e47066b7,owl#Restriction,22-rdf-syntax-ns#type
FundSubscriptionTerms,owl#Class,22-rdf-syntax-ns#type
FundContract,N79479510b2be406dbabf088c9684f087,rdf-schema#subClassOf
FundProspectus,Prospectus,rdf-schema#subClassOf
redemptionFee,FundSubscriptionTerms,rdf-schema#domain
SpecialPurposeVehicle,N258a570216ce49ad93999b2d4f54797b,rdf-schema#subClassOf
distributionWithReinvestment,shares allocated to the investor.,core#definition
N3ba2ffd446ae452ebff7d1080dfe2bc6,Currency,owl#someValuesFrom
AnnualizedPerformanceDeterminationMethod,annualized performance determination method,rdf-schema#label
includeRelatedFirms,Whether or not the strategy includes firms which are related in some way to the referenced organization.,core#definition
KeyInvestorInformationDocument,"Key investor information shall include appropriate information about the essential characteristics of the UCITS concerned, which is to be provided to investors so that they are reasonably able to understand the nature and the risks of the investment product that is being offered to them and, consequently, to take investment decisions on an informed basis.",explanatoryNote
FundOrderDesk,AccountProvider,rdf-schema#subClassOf
FundAdministrator,fund administrator,rdf-schema#label
investmentFocus,XMLSchema#string,rdf-schema#range
FundInvestmentPolicy,N8c94f78cd54c4afe845708a5e023c32b,rdf-schema#subClassOf
backEndLoadApplicable,"Whether an exit charge, eg, CDSC, on redemption orders for this class can be applied.",core#definition
PortfolioInvestmentStrategy,Nf95a4c1316224171ad25acab2a147569,rdf-schema#subClassOf
hasAccountingReportingFrequency,owl#ObjectProperty,22-rdf-syntax-ns#type
hasTransferAgent,FundTransferAgent,rdf-schema#range
identifiesAssetTypesBy,owl#ObjectProperty,22-rdf-syntax-ns#type
holds,owl#ObjectProperty,22-rdf-syntax-ns#type
inceptionDate,inception date,rdf-schema#label
hasSubscriptionTerms,FundSubscriptionTerms,rdf-schema#range
hasTradableUnit,CollectiveInvestmentVehicle,rdf-schema#domain
FondsCommunDePlacement,fcp,rdf-schema#seeAlso
minimumRemainingHoldingAmount,MonetaryAmount,rdf-schema#range
NetAssetValueCalculationMethod,net asset value calculation method,rdf-schema#label
limitedSharesAreIssued,XMLSchema#boolean,rdf-schema#range
SpecialPurposeVehicle,owl#Class,22-rdf-syntax-ns#type
FundAccountant,FundsProcessingParty,rdf-schema#subClassOf
EquityPortfolio,equity portfolio,rdf-schema#label
redemptionCutoffDateTime,time at which an order to redeem can be given.,core#definition
CurrencyStrategy,Strategy which is currency based.,core#definition
endOfFiscalYear,owl#ObjectProperty,22-rdf-syntax-ns#type
,,owl#versionIRI
hasUnitIssuer,fundHasRelatedParty,rdf-schema#subPropertyOf
CurrencyStrategy,owl#Class,22-rdf-syntax-ns#type
maximumRedemptionFee,maximum redemption fee,rdf-schema#label
performanceFee,performance fee,rdf-schema#label
initialApplicationForm,Physical application form for the initial subscription by the investor.,core#definition
N49309046a214445c83d68816f44851da,owl#Restriction,22-rdf-syntax-ns#type
FundPortfolio,N4dc2f8ff081048d18fec98c9f126fdf7,rdf-schema#subClassOf
Nf24e78cb8b674808b7b0c07882a5daef,FundPortfolioInvestmentLimitations,owl#someValuesFrom
switchingFee,Actual percentage or fixed amount of money due when switching to another fund. Definition origin:EFAMA DD,core#definition
