id,type,name
has relative price at redemption,Entity,has relative price at redemption
PrincipalRepaymentTerms,Entity,PrincipalRepaymentTerms
"DebtInstruments.rdf version of this ontology was modified to move the property, 'is conferred on' to the Legal Capacity ontology and to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate.",Entity,"DebtInstruments.rdf version of this ontology was modified to move the property, 'is conferred on' to the Legal Capacity ontology and to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate."
N2e6412081fb44ba8bfbda30efc9d48da,Entity,N2e6412081fb44ba8bfbda30efc9d48da
"a debt instrument that is also a security, i.e., that can be bought and sold by the holder",Entity,"a debt instrument that is also a security, i.e., that can be bought and sold by the holder"
hasRelativePriceAtMaturity,Entity,hasRelativePriceAtMaturity
indicates the specific terms related to interest payments on the principal as specified in the instrument or a related contract document,Entity,indicates the specific terms related to interest payments on the principal as specified in the instrument or a related contract document
security price specified in comparison with either a stated or market value for a debt instrument at some point in time,Entity,security price specified in comparison with either a stated or market value for a debt instrument at some point in time
hasArgument,Entity,hasArgument
"the stated value of a negotiable instrument, stock, or bond, as compared with the value that instrument might receive when sold",Entity,"the stated value of a negotiable instrument, stock, or bond, as compared with the value that instrument might receive when sold"
DebtInstruments.rdf version of this ontology was modified to generalize the definition of fixed income security.,Entity,DebtInstruments.rdf version of this ontology was modified to generalize the definition of fixed income security.
has pool number,Entity,has pool number
N7028aeb3069540bd8855c1eb1bfcdcd1,Entity,N7028aeb3069540bd8855c1eb1bfcdcd1
step schedule,Entity,step schedule
"If not, the issuer may only refinance the debt by calling the issue and creating a new issue.",Entity,"If not, the issuer may only refinance the debt by calling the issue and creating a new issue."
Strip,Entity,Strip
IssuedDebt,Entity,IssuedDebt
Margin,Entity,Margin
"relates the redemption provision of a debt instrument to a notification provision (e.g., call or put notification)",Entity,"relates the redemption provision of a debt instrument to a notification provision (e.g., call or put notification)"
N70357d15afac4215ba4ebc9773453e2b,Entity,N70357d15afac4215ba4ebc9773453e2b
"indicates whether the security is a subordinated security, meaning that the security has a lower priority than another security so that when the assets are liquidated this one is not first in line",Entity,"indicates whether the security is a subordinated security, meaning that the security has a lower priority than another security so that when the assets are liquidated this one is not first in line"
Debt Instruments Ontology,Entity,Debt Instruments Ontology
owl#ObjectProperty,Entity,owl#ObjectProperty
