source_id,target_id,relationship
N7fd2e15cfc4e4fa984bb431ced1e3ac4,isLegallyRecordedIn,owl#onProperty
,"DepositaryReceipts.rdf version of this ontology was modified to move the property, 'is conferred on' to the Legal Capacity ontology and to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate.",core#changeNote
LevelIIAmericanDepositaryReceipt,owl#NamedIndividual,22-rdf-syntax-ns#type
hasNumberOfDepositaryReceiptsIssued,XMLSchema#positiveInteger,rdf-schema#range
Nde27530ad1974bd9941dbd52d2d40dc4,hasMultiplier,owl#onProperty
AmericanDepositaryReceiptLevel,American depositary receipt level,rdf-schema#label
hasTradedShare,Share,rdf-schema#range
Nb1b9b114a5544f61b854ff45c3f616c9,hasTradedSecurity,owl#onProperty
DepositaryReceipt,depositary receipt,rdf-schema#label
UnsponsoredDepositaryReceipt,AmericanDepositaryReceipt,rdf-schema#subClassOf
Ne01258605e97483aa41fa7130e34317b,JurisdictionOfLuxembourg,owl#hasValue
N40769f421a7c4bafa0a481f84e31f9c2,hasRestriction,owl#onProperty
LevelIIAmericanDepositaryReceipt,Level II American depositary receipt,rdf-schema#label
LuxembourgDepositaryReceipt,owl#Class,22-rdf-syntax-ns#type
hasNumberOfDepositaryReceiptsIssued,DepositaryReceipt,rdf-schema#domain
GlobalDepositaryReceipt,GDR,abbreviation
N40769f421a7c4bafa0a481f84e31f9c2,owl#Restriction,22-rdf-syntax-ns#type
SponsoredDepositaryReceipt,"Although a sponsored ADR would be listed in the United States, the issuing company still has its revenue and profit denominated in its home currency.",explanatoryNote
DepositaryReceipt,"ISO 10962, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fourth Edition, October 2019",adaptedFrom
PrivatelyPlacedDepositaryReceipt,SponsoredDepositaryReceipt,rdf-schema#subClassOf
DepositaryReceipt,"negotiable financial instrument issued by a trust company, security depositary, or bank that is evidence of the deposit of publicly traded securities and that facilitates the ownership of securities traded in other jurisdictions",core#definition
,DepositaryReceipts.rdf version of this ontology was modified to address text formatting hygiene issues.,core#changeNote
ParticipatoryNote,P-Note,abbreviation
JapaneseDepositaryReceipt,"global depositary receipt that represents the purchase, or ownership, of foreign assets which are deposited in a trust bank in Japan",core#definition
Nb52336bc128d49f18a2817274775f701,TradableDebtInstrument,owl#someValuesFrom
DepositaryReceipt,"Depositary receipts are widely used in order to allow the trading of securities in jurisdictions other than
the one where the original securities were issued, such as in a local market. Depositary receipts facilitate buying securities in foreign companies, because the securities do not have to leave the home country. They enable domestic investors to buy securities of foreign companies without the accompanying risks or inconveniences of cross-border and cross-currency transactions.",explanatoryNote
LevelIAmericanDepositaryReceipt,owl#NamedIndividual,22-rdf-syntax-ns#type
N40769f421a7c4bafa0a481f84e31f9c2,Rule144A,owl#hasValue
UnsponsoredDepositaryReceipt,SponsoredDepositaryReceipt,owl#disjointWith
EuropeanDepositaryReceipt,EDR,abbreviation
LevelIAmericanDepositaryReceipt,"This level can apply to sponsored and unsponsored ADRs. However, this is the only level available for unsponsored ADRs. A Level I ADR is easier to set up for foreign companies since it does not require the same disclosures or the need to abide by generally accepted accounting principles (GAAP). There is some degree of risk with Level I ADRs given their relative lack of transparency.",explanatoryNote
DepositaryReceipt,Nde27530ad1974bd9941dbd52d2d40dc4,rdf-schema#subClassOf
IndianDepositoryReceipt,Indian_Depository_Receipt,rdf-schema#seeAlso
LevelIIAmericanDepositaryReceipt,American Depositary Receipt level that is sponsored and can be listed on an exchange,core#definition
IndianDepositoryReceipt,owl#Class,22-rdf-syntax-ns#type
hasTradedSecurity,Security,rdf-schema#range
Nde27530ad1974bd9941dbd52d2d40dc4,0,owl#minQualifiedCardinality
AmericanDepositaryReceiptLevelScheme,classifier for American depositary receipts that categorizes ADRs into levels based on the extent to which the foreign company has access to the U.S. market,core#definition
N1ded5935025e47d4abf71007071d0610,owl#Restriction,22-rdf-syntax-ns#type
N7c76701443674157b2099d8ff1460fab,AmericanDepositaryReceiptLevel,owl#onClass
AmericanDepositaryReceipt,American depositary receipt,rdf-schema#label
N115e65969845437ab97d6df60471e43a,isLegallyRecordedIn,owl#onProperty
hasTradedSecurity,denotes,rdf-schema#subPropertyOf
LuxembourgDepositaryReceipt,Luxembourg depositary receipt,rdf-schema#label
Nb1b9b114a5544f61b854ff45c3f616c9,Security,owl#someValuesFrom
ChineseDepositaryReceipt,CDR,abbreviation
N4dc906bbe9ea422d8b72492688df3da7,JurisdictionOfTheRepublicOfChina,owl#hasValue
ParticipatoryNote,owl#Class,22-rdf-syntax-ns#type
N4dc906bbe9ea422d8b72492688df3da7,isLegallyRecordedIn,owl#onProperty
Nc696f80b0c714a52a059c217ef865be4,isLegallyRecordedIn,owl#onProperty
ChineseDepositaryReceipt,GlobalDepositaryReceipt,rdf-schema#subClassOf
,,owl#imports
N7fd2e15cfc4e4fa984bb431ced1e3ac4,JurisdictionOfIndia,owl#hasValue
Ne01258605e97483aa41fa7130e34317b,owl#Restriction,22-rdf-syntax-ns#type
Nc10c1a7a30544a338c913bb44aef34ef,AmericanDepositaryReceipt,owl#someValuesFrom
AmericanDepositaryReceipt,"Most ADRs are issued by a domestic custodian bank when the underlying securities are deposited in a foreign depositary bank, usually by a broker who has purchased the securities in the open market local to the foreign company. An ADR can represent a fraction of a share, a single share, or multiple shares of a foreign security. The holder of an ADR has the right to obtain the underlying foreign security that the ADR represents, but investors usually find it more convenient to own the ADR. The price of an ADR generally tracks the price of the foreign security in its home market, adjusted for the ratio of ADRs to foreign company shares. In the case of companies domiciled in the United Kingdom, creation of ADRs attracts a 1.5 percent creation fee; this creation fee is different than stamp duty reserve tax charge by the UK government. Depositary banks have various responsibilities to ADR holders and to the issuing foreign company the ADR represents.",explanatoryNote
HongKongDepositaryReceipt,owl#Class,22-rdf-syntax-ns#type
IndianDepositoryReceipt,IDR,abbreviation
LevelIIAmericanDepositaryReceipt,AmericanDepositaryReceiptLevel,22-rdf-syntax-ns#type
PrivatelyPlacedDepositaryReceipt,N40769f421a7c4bafa0a481f84e31f9c2,rdf-schema#subClassOf
