id,type,name
CommonRestrictedVotingRestrictedNilPaidRegisteredShare,Entity,CommonRestrictedVotingRestrictedNilPaidRegisteredShare
N72f7b36dd0924055a0a8de9ea8dcb090,Entity,N72f7b36dd0924055a0a8de9ea8dcb090
N75fb390687a7453b83816f0cf3be53af,Entity,N75fb390687a7453b83816f0cf3be53af
N9658b367861b4844b8446d3469e28410,Entity,N9658b367861b4844b8446d3469e28410
"CFI code for a common, voting, unrestricted transfer, partly paid, registered share",Entity,"CFI code for a common, voting, unrestricted transfer, partly paid, registered share"
PreferredEnhancedVotingRedeemableAuctionRateIncomeRegisteredShare,Entity,PreferredEnhancedVotingRedeemableAuctionRateIncomeRegisteredShare
CommonVotingUnrestrictedFullyPaidRegisteredShare,Entity,CommonVotingUnrestrictedFullyPaidRegisteredShare
N0f648d6f3dd34a6ba1e2042ea418c222,Entity,N0f648d6f3dd34a6ba1e2042ea418c222
"preferred share that confers less than one vote per share, may be exchanged for securities of another issuer, provides a periodic income whose dividend rate is adjusted through an auction, and is registered",Entity,"preferred share that confers less than one vote per share, may be exchanged for securities of another issuer, provides a periodic income whose dividend rate is adjusted through an auction, and is registered"
"preferred, non-voting, redeemable, fixed income, registered share",Entity,"preferred, non-voting, redeemable, fixed income, registered share"
"preferred, voting, redeemable extendable, cumulative participating, registered share",Entity,"preferred, voting, redeemable extendable, cumulative participating, registered share"
"preferred, enhanced voting, perpetual, cumulative participating, registered share",Entity,"preferred, enhanced voting, perpetual, cumulative participating, registered share"
PreferredEnhancedVotingExchangeableParticipatingRegisteredShare,Entity,PreferredEnhancedVotingExchangeableParticipatingRegisteredShare
"common, non-voting, unrestricted, nil paid, registered share",Entity,"common, non-voting, unrestricted, nil paid, registered share"
N5efc2c256d40494993b26b55b0a14cf0,Entity,N5efc2c256d40494993b26b55b0a14cf0
N9d4857fd5d4b4220a7b6fce9e2e8383e,Entity,N9d4857fd5d4b4220a7b6fce9e2e8383e
PreferredVotingRedeemableExchangeableAdjustableIncomeRegisteredShare,Entity,PreferredVotingRedeemableExchangeableAdjustableIncomeRegisteredShare
"or of the shareholder, provides a periodic stated income, dividends not paid in any year accumulate, and participates with common shareholders in further dividend and capital distributions, and is registered",Entity,"or of the shareholder, provides a periodic stated income, dividends not paid in any year accumulate, and participates with common shareholders in further dividend and capital distributions, and is registered"
PreferredRestrictedVotingRedeemableExtendableAdjustableIncomeRegisteredShare,Entity,PreferredRestrictedVotingRedeemableExtendableAdjustableIncomeRegisteredShare
PreferredNonVotingExtendableFixedIncomeRegisteredShare,Entity,PreferredNonVotingExtendableFixedIncomeRegisteredShare
"Copyright (c) 2020-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2020-2023 Object Management Group, Inc."
N38b1dc8b8447484fb21f940fba243000,Entity,N38b1dc8b8447484fb21f940fba243000
N0aed00685333476786126a1026ee0a26,Entity,N0aed00685333476786126a1026ee0a26
FinancialInstrumentClassificationCode,Entity,FinancialInstrumentClassificationCode
"common, voting, restricted, partly paid, registered share",Entity,"common, voting, restricted, partly paid, registered share"
"preferred share that confers exactly one vote per share, has no fixed maturity date, provides a periodic stated income and participates with common shareholders in further dividend and capital distributions, and is registered",Entity,"preferred share that confers exactly one vote per share, has no fixed maturity date, provides a periodic stated income and participates with common shareholders in further dividend and capital distributions, and is registered"
N5ae90ca160654243a0aa4364f4f219fd,Entity,N5ae90ca160654243a0aa4364f4f219fd
"extendable, normal income, registered share",Entity,"extendable, normal income, registered share"
N4f78da60362546478fc7dd9e7767f274,Entity,N4f78da60362546478fc7dd9e7767f274
Nfb31946add204fbe940674fd6d11d5e0,Entity,Nfb31946add204fbe940674fd6d11d5e0
"preferred, non-voting, redeemable exchangeable, auction rate income, registered share",Entity,"preferred, non-voting, redeemable exchangeable, auction rate income, registered share"
N583d32f89e79497eab323de090a57c6d,Entity,N583d32f89e79497eab323de090a57c6d
N16ced95961914054b2462c2a42af29a9,Entity,N16ced95961914054b2462c2a42af29a9
Nf9bdaeb9eab349dd96f1ce1ed9ebe032,Entity,Nf9bdaeb9eab349dd96f1ce1ed9ebe032
"preferred share that confers less than one vote per share, has no fixed maturity date, provides a periodic stated income and dividends not paid in any year accumulate, and is registered",Entity,"preferred share that confers less than one vote per share, has no fixed maturity date, provides a periodic stated income and dividends not paid in any year accumulate, and is registered"
"preferred, non-voting, perpetual, normal income, registered share",Entity,"preferred, non-voting, perpetual, normal income, registered share"
PreferredShareWithFixedRateDividend,Entity,PreferredShareWithFixedRateDividend
Nc3b0ff87ba6e44c7922d3c15fd9f1d1b,Entity,Nc3b0ff87ba6e44c7922d3c15fd9f1d1b
PreferredRestrictedVotingExtendableParticipatingRegisteredShare,Entity,PreferredRestrictedVotingExtendableParticipatingRegisteredShare
N466206b3395d44f1a5cff809a96313b4,Entity,N466206b3395d44f1a5cff809a96313b4
"common, restricted voting, unrestricted, fully-paid, registered share",Entity,"common, restricted voting, unrestricted, fully-paid, registered share"
"preferred, voting, extendable, adjustable income, registered share",Entity,"preferred, voting, extendable, adjustable income, registered share"
Nc5aeaa51ce7c4828931611fa55a1c2ae,Entity,Nc5aeaa51ce7c4828931611fa55a1c2ae
"ordinary shareholders, and is registered",Entity,"ordinary shareholders, and is registered"
CommonRestrictedVotingUnrestrictedNilPaidRegisteredShare,Entity,CommonRestrictedVotingUnrestrictedNilPaidRegisteredShare
N2faf599b85634b6690b068ef3f53ffd2,Entity,N2faf599b85634b6690b068ef3f53ffd2
PreferredVotingExtendableAdjustableIncomeRegisteredShare,Entity,PreferredVotingExtendableAdjustableIncomeRegisteredShare
"preferred, voting, perpetual, fixed income, registered share",Entity,"preferred, voting, perpetual, fixed income, registered share"
"EquityCFIClassificationIndividuals.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate.",Entity,"EquityCFIClassificationIndividuals.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate."
"preferred share that confers zero votes per share, has no fixed maturity date, provides a periodic stated income, and is registered",Entity,"preferred share that confers zero votes per share, has no fixed maturity date, provides a periodic stated income, and is registered"
Nfd20c142797544af94b4baf47f3ac596,Entity,Nfd20c142797544af94b4baf47f3ac596
N62582b7e38104680b7d42d4c5efd991c,Entity,N62582b7e38104680b7d42d4c5efd991c
PreferredVotingExchangeableFixedIncomeRegisteredShare,Entity,PreferredVotingExchangeableFixedIncomeRegisteredShare
Na5f8e316a2a14fdd8092abbe26c91602,Entity,Na5f8e316a2a14fdd8092abbe26c91602
ESNUPR,Entity,ESNUPR
"preferred share that confers exactly one vote per share, has no fixed maturity date, provides a periodic stated income and dividends not paid in any year accumulate, and is registered",Entity,"preferred share that confers exactly one vote per share, has no fixed maturity date, provides a periodic stated income and dividends not paid in any year accumulate, and is registered"
CommonEnhancedVotingRestrictedFullyPaidRegisteredShare,Entity,CommonEnhancedVotingRestrictedFullyPaidRegisteredShare
N9ac501a90a0a4a0384b3c062da8d869d,Entity,N9ac501a90a0a4a0384b3c062da8d869d
PreferredVotingRedeemableExchangeableExtendableAuctionRateIncomeRegisteredShare,Entity,PreferredVotingRedeemableExchangeableExtendableAuctionRateIncomeRegisteredShare
RestrictedShare,Entity,RestrictedShare
"preferred, enhanced voting, redeemable, cumulative participating, registered share",Entity,"preferred, enhanced voting, redeemable, cumulative participating, registered share"
"preferred, restricted voting, perpetual, adjustable income, registered share",Entity,"preferred, restricted voting, perpetual, adjustable income, registered share"
"common, restricted voting, unrestricted, partly paid, registered share",Entity,"common, restricted voting, unrestricted, partly paid, registered share"
PreferredNonVotingRedeemableExchangeableCumulativeRegisteredShare,Entity,PreferredNonVotingRedeemableExchangeableCumulativeRegisteredShare
"preferred, enhanced voting, redeemable exchangeable, auction rate income, registered share",Entity,"preferred, enhanced voting, redeemable exchangeable, auction rate income, registered share"
Nb1786719b4a743be84d3323ec10cd939,Entity,Nb1786719b4a743be84d3323ec10cd939
Naf31b43a4b59482c91705906d3009141,Entity,Naf31b43a4b59482c91705906d3009141
Ne4722905f9f54c17a047906ccad87886,Entity,Ne4722905f9f54c17a047906ccad87886
N07db5c833788407d8aa70c1bfb1a9006,Entity,N07db5c833788407d8aa70c1bfb1a9006
N0eb1a49a011c4261ac510c6f1b72e31a,Entity,N0eb1a49a011c4261ac510c6f1b72e31a
"preferred share that confers zero votes per share, may be exchanged for securities of another issuer, provides a periodic income whose dividend rate is adjusted through an auction, and is registered",Entity,"preferred share that confers zero votes per share, may be exchanged for securities of another issuer, provides a periodic income whose dividend rate is adjusted through an auction, and is registered"
PreferredVotingExchangeableCumulativeRegisteredShare,Entity,PreferredVotingExchangeableCumulativeRegisteredShare
N02c15a6db9574340adfb65daea88931a,Entity,N02c15a6db9574340adfb65daea88931a
"common, enhanced voting, restricted, fully-paid, registered share",Entity,"common, enhanced voting, restricted, fully-paid, registered share"
"preferred share that confers exactly one vote per share, has no fixed maturity date, provides a periodic income whose dividend rate is set periodically, and is registered",Entity,"preferred share that confers exactly one vote per share, has no fixed maturity date, provides a periodic income whose dividend rate is set periodically, and is registered"
N16b5c59795af44e19e6307a16101158d,Entity,N16b5c59795af44e19e6307a16101158d
N7e66178a05654cc98dabf51e435424c5,Entity,N7e66178a05654cc98dabf51e435424c5
"common share that confers exactly one vote per share, is unrestricted from a sales perspective, is fully paid and is registered",Entity,"common share that confers exactly one vote per share, is unrestricted from a sales perspective, is fully paid and is registered"
"preferred, enhanced voting, exchangeable, auction rate income, registered share",Entity,"preferred, enhanced voting, exchangeable, auction rate income, registered share"
Naa2b7f3c22174eaa8e01ad00a4a235ab,Entity,Naa2b7f3c22174eaa8e01ad00a4a235ab
N549c1d9e7f1a4c2aa25e767df3390c99,Entity,N549c1d9e7f1a4c2aa25e767df3390c99
PreferredEnhancedVotingRedeemableExchangeableExtendableParticipatingRegisteredShare,Entity,PreferredEnhancedVotingRedeemableExchangeableExtendableParticipatingRegisteredShare
"preferred, non-voting, redeemable, participating, registered share",Entity,"preferred, non-voting, redeemable, participating, registered share"
"preferred, non-voting, redeemable, normal income, registered share",Entity,"preferred, non-voting, redeemable, normal income, registered share"
N1225b624bac644768e9fdcd9d46aa6da,Entity,N1225b624bac644768e9fdcd9d46aa6da
"preferred, non-voting, perpetual, participating, registered share",Entity,"preferred, non-voting, perpetual, participating, registered share"
PreferredNonVotingPerpetualCumulativeRegisteredShare,Entity,PreferredNonVotingPerpetualCumulativeRegisteredShare
N3ab0e41e84e94fc9995954d910c58e03,Entity,N3ab0e41e84e94fc9995954d910c58e03
N04f98305fe1f4f6e85889acd84a37813,Entity,N04f98305fe1f4f6e85889acd84a37813
"CFI code for a common, voting, unrestricted transfer, nil paid, registered share",Entity,"CFI code for a common, voting, unrestricted transfer, nil paid, registered share"
PreferredEnhancedVotingRedeemableNormalIncomeRegisteredShare,Entity,PreferredEnhancedVotingRedeemableNormalIncomeRegisteredShare
Nae2e13ba2fd048e2add1c6864b74ee32,Entity,Nae2e13ba2fd048e2add1c6864b74ee32
N8c9efdf1e416487ba64237696f5b8619,Entity,N8c9efdf1e416487ba64237696f5b8619
N99ae10d77dcc4712ad08c3e644974852,Entity,N99ae10d77dcc4712ad08c3e644974852
"preferred, enhanced voting, redeemable exchangeable, adjustable income, registered share",Entity,"preferred, enhanced voting, redeemable exchangeable, adjustable income, registered share"
PreferredNonVotingExtendableAdjustableIncomeRegisteredShare,Entity,PreferredNonVotingExtendableAdjustableIncomeRegisteredShare
N163b36ebb0844a08b45234feb774e710,Entity,N163b36ebb0844a08b45234feb774e710
PreferredVotingRedeemableExchangeableFixedIncomeRegisteredShare,Entity,PreferredVotingRedeemableExchangeableFixedIncomeRegisteredShare
