id,type,name
share whose payment status indicates that only a portion of the market value has been received by the company for the shares,Entity,share whose payment status indicates that only a portion of the market value has been received by the company for the shares
hasStrategy,Entity,hasStrategy
cumulative preferred share,Entity,cumulative preferred share
N8a7364238d4041acbbd878461fcd446e,Entity,N8a7364238d4041acbbd878461fcd446e
nil paid share status,Entity,nil paid share status
"Copyright (c) 2013-2024 EDM Council, Inc.",Entity,"Copyright (c) 2013-2024 EDM Council, Inc."
"preferred share whose maturity date is set, typically according to the terms of the prospectus",Entity,"preferred share whose maturity date is set, typically according to the terms of the prospectus"
Shareholder,Entity,Shareholder
AuctionRateDividend,Entity,AuctionRateDividend
hasArgument,Entity,hasArgument
indicatesNumberOfShares,Entity,indicatesNumberOfShares
These dividends have precedence over ordinary dividends which cannot be paid until any cumulative dividend obligations have been paid. Dividends are typically deferred due to insufficient earnings or other business reasons.,Entity,These dividends have precedence over ordinary dividends which cannot be paid until any cumulative dividend obligations have been paid. Dividends are typically deferred due to insufficient earnings or other business reasons.
isPlayedBy,Entity,isPlayedBy
qualified dividend,Entity,qualified dividend
PreferredShareWithFixedRateDividend,Entity,PreferredShareWithFixedRateDividend
"ISO 10962, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fourth Edition, October 2019",Entity,"ISO 10962, Securities and related financial instruments - Classification of financial instruments (CFI) code, Fourth Edition, October 2019"
grants the right to vote on a per share basis to the shareholder,Entity,grants the right to vote on a per share basis to the shareholder
"indicates a variable dividend rate, typically specified in the prospectus as a formula based on a benchmark or set at auction",Entity,"indicates a variable dividend rate, typically specified in the prospectus as a formula based on a benchmark or set at auction"
redeemable preferred share with extendable maturity date,Entity,redeemable preferred share with extendable maturity date
N862e035168d8465788f56ac352525988,Entity,N862e035168d8465788f56ac352525988
N482ae95eb8fa4d74bc21d67c7862824c,Entity,N482ae95eb8fa4d74bc21d67c7862824c
Neb7b113e9c7c42b6833813555b321cf3,Entity,Neb7b113e9c7c42b6833813555b321cf3
has expected dividend date,Entity,has expected dividend date
listedsecurity.asp,Entity,listedsecurity.asp
PaymentSchedule,Entity,PaymentSchedule
RestrictedShare,Entity,RestrictedShare
isSeniorTo,Entity,isSeniorTo
"or low trading volume, and fulfill their financing requirements in other ways, including through smaller offerings.",Entity,"or low trading volume, and fulfill their financing requirements in other ways, including through smaller offerings."
"relates a share to a dividend that applies to that share, or that the share may pay",Entity,"relates a share to a dividend that applies to that share, or that the share may pay"
XMLSchema#nonNegativeInteger,Entity,XMLSchema#nonNegativeInteger
"Companies also use this date to determine who is sent proxy statements, financial reports, and other information.",Entity,"Companies also use this date to determine who is sent proxy statements, financial reports, and other information."
has floating shares,Entity,has floating shares
N36268f95ec76414da27480605743b2bd,Entity,N36268f95ec76414da27480605743b2bd
"preferred share whose dividend rate is periodically reset through an auction, such as a Dutch auction",Entity,"preferred share whose dividend rate is periodically reset through an auction, such as a Dutch auction"
N5f48d1fdc49142e6adb5d6a930d5f259,Entity,N5f48d1fdc49142e6adb5d6a930d5f259
"Like shareholders in a corporation, the LPs have limited liability, i.e., they are only liable on debts incurred by the firm to the extent of their registered investment and they have no management authority. The GPs pay the LPs the equivalent of a dividend on their investment, the nature and extent of which is usually defined in the partnership agreement.",Entity,"Like shareholders in a corporation, the LPs have limited liability, i.e., they are only liable on debts incurred by the firm to the extent of their registered investment and they have no management authority. The GPs pay the LPs the equivalent of a dividend on their investment, the nature and extent of which is usually defined in the partnership agreement."
N1e37cbfedf1240e1bd1a2987be7820f5,Entity,N1e37cbfedf1240e1bd1a2987be7820f5
or of the shareholder with an extendable redemption (meturity) date.,Entity,or of the shareholder with an extendable redemption (meturity) date.
owl#ObjectProperty,Entity,owl#ObjectProperty
EquityInstruments.rdf version of this ontology was revised to revise the definition of dividend to explicitly state that it reflects the announced commitment of a specific dividend rather than a more general policy.,Entity,EquityInstruments.rdf version of this ontology was revised to revise the definition of dividend to explicitly state that it reflects the announced commitment of a specific dividend rather than a more general policy.
"Listing requirements vary by exchange and include minimum stockholder's equity, a minimum share price and a minimum number of shareholders. Exchanges have listing requirements to ensure that only high quality securities are traded on them and to uphold the exchange's reputation among investors.",Entity,"Listing requirements vary by exchange and include minimum stockholder's equity, a minimum share price and a minimum number of shareholders. Exchanges have listing requirements to ensure that only high quality securities are traded on them and to uphold the exchange's reputation among investors."
hasEarliestRedemptionDate,Entity,hasEarliestRedemptionDate
dividend that varies with a benchmark,Entity,dividend that varies with a benchmark
N07d28aa8354b471db2e4bbf1f13e253f,Entity,N07d28aa8354b471db2e4bbf1f13e253f
has announcement date,Entity,has announcement date
"EquityInstruments.rdf version of this ontology was revised to replace 'publicly-traded share' with 'exchange-specific share', which is the more commonly used designation and corresponds better with the intended semantics of this concept, to merge in concepts that were formerly in a separate ShareTerms ontology, and eliminate deprecated elements.",Entity,"EquityInstruments.rdf version of this ontology was revised to replace 'publicly-traded share' with 'exchange-specific share', which is the more commonly used designation and corresponds better with the intended semantics of this concept, to merge in concepts that were formerly in a separate ShareTerms ontology, and eliminate deprecated elements."
Such restrictions may apply regardless of the number of votes per share.,Entity,Such restrictions may apply regardless of the number of votes per share.
RedeemablePreferredShareWithExtendableRedemptionDate,Entity,RedeemablePreferredShareWithExtendableRedemptionDate
listed share,Entity,listed share
fully paid share,Entity,fully paid share
dividend,Entity,dividend
