id,type,name
has exercise terms,Entity,has exercise terms
exercise terms,Entity,exercise terms
exercise terms that stipulate that an option may only be exercised at the date of expiration,Entity,exercise terms that stipulate that an option may only be exercised at the date of expiration
ExerciseConventions.rdf version of this ontology was modified to eliminate duplication of concepts in LCC.,Entity,ExerciseConventions.rdf version of this ontology was modified to eliminate duplication of concepts in LCC.
N5d813368d77345f9b200f591766e025f,Entity,N5d813368d77345f9b200f591766e025f
"Copyright (c) 2015-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2015-2023 Object Management Group, Inc."
hasExerciseTerms,Entity,hasExerciseTerms
hasContractualElement,Entity,hasContractualElement
ExerciseConvention,Entity,ExerciseConvention
BermudanExerciseConvention,Entity,BermudanExerciseConvention
This ontology defines the various kinds of exercise conventions that are common to debt and options instruments. They are distinguished primarily in terms of the date period during which an optional contract clause may be exercised.,Entity,This ontology defines the various kinds of exercise conventions that are common to debt and options instruments. They are distinguished primarily in terms of the date period during which an optional contract clause may be exercised.
exercise convention that stipulates that an option may only be exercised at the date of expiration,Entity,exercise convention that stipulates that an option may only be exercised at the date of expiration
European exercise convention,Entity,European exercise convention
hasExerciseDate,Entity,hasExerciseDate
"Under certain circumstances, early exercise may be advantageous to the option holder.",Entity,"Under certain circumstances, early exercise may be advantageous to the option holder."
CanaryExerciseTerms,Entity,CanaryExerciseTerms
owl#Restriction,Entity,owl#Restriction
indicates a date on which an option may be exercised as specified in the terms of the contract,Entity,indicates a date on which an option may be exercised as specified in the terms of the contract
DatePeriod,Entity,DatePeriod
has exercise date,Entity,has exercise date
"exercise terms that stipulate that an option may only be exercised on predetermined dates until the first step is reached, but not after that point",Entity,"exercise terms that stipulate that an option may only be exercised on predetermined dates until the first step is reached, but not after that point"
indicates a period of time during which the option may be exercised as specified in the terms of the contract,Entity,indicates a period of time during which the option may be exercised as specified in the terms of the contract
N3fd052706e5d408cb0f2e35e60e42045,Entity,N3fd052706e5d408cb0f2e35e60e42045
"ExerciseConventions.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate.",Entity,"ExerciseConventions.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate."
AmericanExerciseConvention,Entity,AmericanExerciseConvention
convention that determines when the holder or future holder of an option can implement the rights defined in the option,Entity,convention that determines when the holder or future holder of an option can implement the rights defined in the option
"Copyright (c) 2015-2023 EDM Council, Inc.",Entity,"Copyright (c) 2015-2023 EDM Council, Inc."
owl#NamedIndividual,Entity,owl#NamedIndividual
exercise terms that stipulate that an option may be exercised on or before the date of expiration,Entity,exercise terms that stipulate that an option may be exercised on or before the date of expiration
owl#ObjectProperty,Entity,owl#ObjectProperty
,Entity,
ContractualCommitment,Entity,ContractualCommitment
canary exercise terms,Entity,canary exercise terms
"The Bermuda option is named as such because its exercise dates are more flexible than European options and less flexible than American options. Thus, it is in the middle, just like Bermuda is between Europe and America. Bermuda options are also referred to as Mid-Atlantic, Quasi American, or Semi-American options.",Entity,"The Bermuda option is named as such because its exercise dates are more flexible than European options and less flexible than American options. Thus, it is in the middle, just like Bermuda is between Europe and America. Bermuda options are also referred to as Mid-Atlantic, Quasi American, or Semi-American options."
DerivativeInstrument,Entity,DerivativeInstrument
European exercise terms,Entity,European exercise terms
Convention,Entity,Convention
owl#Class,Entity,owl#Class
1,Entity,1
Exercise Conventions Ontology,Entity,Exercise Conventions Ontology
"contract terms specific to the conditions, conventions and other stipulations related to the exercise of an option or entitlement",Entity,"contract terms specific to the conditions, conventions and other stipulations related to the exercise of an option or entitlement"
N6666e5e6df7944cd929451eb004c3a4b,Entity,N6666e5e6df7944cd929451eb004c3a4b
N4cf4c87f493f40f3b2e9760c2474ecb4,Entity,N4cf4c87f493f40f3b2e9760c2474ecb4
Nddac170b7da446309513bc23995b88b1,Entity,Nddac170b7da446309513bc23995b88b1
ExerciseConventions.rdf version of this ontology was modified to revise the definition of American exercise terms to say that an option with such terms may be exercised on or before the expiration date of the contract.,Entity,ExerciseConventions.rdf version of this ontology was modified to revise the definition of American exercise terms to say that an option with such terms may be exercised on or before the expiration date of the contract.
EuropeanExerciseConvention,Entity,EuropeanExerciseConvention
American exercise terms,Entity,American exercise terms
American exercise convention,Entity,American exercise convention
ExerciseTerms,Entity,ExerciseTerms
exercise convention that stipulates that an option may be exercised anytime between the purchase date and date of expiration,Entity,exercise convention that stipulates that an option may be exercised anytime between the purchase date and date of expiration
Nba423a90d05b435f9503fbf250d531ca,Entity,Nba423a90d05b435f9503fbf250d531ca
"exercise terms that stipulate that an option may only be exercised on predetermined dates within some exercise window, often on one day each month or at the date of expiration",Entity,"exercise terms that stipulate that an option may only be exercised on predetermined dates within some exercise window, often on one day each month or at the date of expiration"
ExerciseConventions.rdf version of this ontology was modified to loosen the domain of hasExerciseTerms to allow for entitlements to have such terms.,Entity,ExerciseConventions.rdf version of this ontology was modified to loosen the domain of hasExerciseTerms to allow for entitlements to have such terms.
has exercise window,Entity,has exercise window
BermudanExerciseTerms,Entity,BermudanExerciseTerms
N7ef953b6395847b6a8577d346d8e255e,Entity,N7ef953b6395847b6a8577d346d8e255e
Bermudan exercise terms,Entity,Bermudan exercise terms
ExplicitDate,Entity,ExplicitDate
owl#Ontology,Entity,owl#Ontology
EuropeanExerciseTerms,Entity,EuropeanExerciseTerms
Release,Entity,Release
"links a derivative, such as an option or entitlement, to any exercise terms that are specified therein",Entity,"links a derivative, such as an option or entitlement, to any exercise terms that are specified therein"
hasExerciseWindow,Entity,hasExerciseWindow
exercise convention,Entity,exercise convention
N6dd6e897b6544afd89b82a29545a2ea7,Entity,N6dd6e897b6544afd89b82a29545a2ea7
"ExerciseConventions.rdf version of this ontology was added to support integration of Bonds and Options in SEC and DER, respectively.",Entity,"ExerciseConventions.rdf version of this ontology was added to support integration of Bonds and Options in SEC and DER, respectively."
canary exercise convention,Entity,canary exercise convention
ExerciseConventions.rdf version of this ontology was modified to add the hasExerciseTerms property.,Entity,ExerciseConventions.rdf version of this ontology was modified to add the hasExerciseTerms property.
Bermudan exercise convention,Entity,Bermudan exercise convention
MIT,Entity,MIT
hasExplicitDate,Entity,hasExplicitDate
uses,Entity,uses
ExerciseConventions.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,Entity,ExerciseConventions.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.
AmericanExerciseTerms,Entity,AmericanExerciseTerms
CanaryExerciseConvention,Entity,CanaryExerciseConvention
"call convention that stipulates that an option may only be exercised on predetermined dates until the first step is reached, but not after that point",Entity,"call convention that stipulates that an option may only be exercised on predetermined dates until the first step is reached, but not after that point"
