source_id,target_id,relationship
DebtModule,Federated Knowledge LLC,contributor
,,owl#imports
DebtModule,"ProBanker Simulations, LLC",contributor
DebtModule,Nordea Bank AB,contributor
DebtModule,John F. Tierney,contributor
DebtModule, Mphasis,contributor
DebtModule,"This module defines debt securities contracts both cash and synthetic, such as bonds, structured finance instruments, short term or money market instruments, and other contracts characterized by the holding of some debt of the issuer or primary party by the holder or counterparty.",abstract
,MIT,license
DebtModule,"Copyright (c) 2018-2024 EDM Council, Inc.",copyright
DebtModule,,hasPart
DebtModule,owl#NamedIndividual,22-rdf-syntax-ns#type
,"Copyright (c) 2018-2024 Object Management Group, Inc.",copyright
DebtModule,Tahoe Blue Ltd,contributor
DebtModule,Credit Suisse,contributor
DebtModule,Financial Industry Business Ontology (FIBO) Securities and Equities (SEC) Debt Module,title
,2018-03-31T18:00:00,issued
,,owl#versionIRI
DebtModule,Module,22-rdf-syntax-ns#type
DebtModule,BIAN,contributor
DebtModule,agnos.ai U.K. Ltd,contributor
,owl#Ontology,22-rdf-syntax-ns#type
DebtModule,Exprentis,contributor
DebtModule,Thematix Partners LLC,contributor
DebtModule,Deutsche Bank,contributor
DebtModule,State Street Bank and Trust,contributor
DebtModule,,rdf-schema#seeAlso
DebtModule,MIT,license
DebtModule,Statistics Canada,contributor
DebtModule,Mizuho,contributor
DebtModule,"Copyright (c) 2018-2024 Object Management Group, Inc.",copyright
DebtModule,Goldman Sachs,contributor
DebtModule,Quarule,contributor
DebtModule,John F. Gemski,contributor
DebtModule,debt module,rdf-schema#label
DebtModule,Bloomberg LP,contributor
DebtModule,FIBO SEC Debt Module,title
,2024-11-15T18:00:00,modified
DebtModule,Wells Fargo,contributor
,"Copyright (c) 2018-2024 EDM Council, Inc.",copyright
,"The SEC Debt Module covers content specific to debt instruments, including but not limited to bonds and asset-backed securities. This ontology provides metadata about the Debt module and its contents.",abstract
DebtModule,Office of Financial Research (US Dept of the Treasury),contributor
DebtModule, No Magic,contributor
,Metadata about the EDMC-FIBO Securities (SEC) Debt Module,rdf-schema#label
DebtModule,"Adaptive, Inc.",contributor
DebtModule,Citigroup,contributor
