source_id,target_id,relationship
,2024-07-12T18:00:00,modified
SecuritiesModule,FIBO SEC Securities Module,title
SecuritiesModule,Office of Financial Research (US Dept of the Treasury),contributor
SecuritiesModule,Nordea Bank AB,contributor
,,owl#imports
,"Metadata about the EDMC-FIBO Securities (SEC), Securities Module",rdf-schema#label
SecuritiesModule,This module defines concepts common to all securities contracts or referenced in multiple classes of security.,abstract
SecuritiesModule,"Wells Fargo Bank, N.A.",contributor
,MIT,license
SecuritiesModule,Citigroup,contributor
SecuritiesModule, No Magic,contributor
SecuritiesModule,John F. Tierney,contributor
SecuritiesModule,Tahoe Blue Ltd,contributor
SecuritiesModule,Federated Knowledge LLC,contributor
,"Copyright (c) 2018-2024 Object Management Group, Inc.",copyright
SecuritiesModule,Credit Suisse,contributor
SecuritiesModule, Mphasis,contributor
,2018-03-31T18:00:00,issued
SecuritiesModule,owl#NamedIndividual,22-rdf-syntax-ns#type
,,owl#versionIRI
SecuritiesModule,,hasPart
SecuritiesModule,agnos.ai U.K. Ltd,contributor
SecuritiesModule,Financial Industry Business Ontology (FIBO) Securities and Equities (SEC) Securities Module,title
,owl#Ontology,22-rdf-syntax-ns#type
SecuritiesModule,"Copyright (c) 2018-2024 EDM Council, Inc.",copyright
SecuritiesModule,Thematix Partners LLC,contributor
SecuritiesModule,Module,22-rdf-syntax-ns#type
SecuritiesModule,securities module,rdf-schema#label
SecuritiesModule,BIAN,contributor
SecuritiesModule,Exprentis,contributor
,"The SEC Securities Module covers basic information that are common to many securities, including classification schemes, parametric schedules, and common identification, issuance, listing, and restriction-specific concepts. This ontology provides metadata about the Securities module and its contents.",abstract
SecuritiesModule,Statistics Canada,contributor
SecuritiesModule,MIT,license
SecuritiesModule,Mizuho,contributor
SecuritiesModule,"Copyright (c) 2018-2024 Object Management Group, Inc.",copyright
SecuritiesModule,State Street Bank and Trust,contributor
SecuritiesModule,,rdf-schema#seeAlso
SecuritiesModule,Deutsche Bank,contributor
SecuritiesModule,Quarule,contributor
SecuritiesModule,Goldman Sachs,contributor
SecuritiesModule,John F. Gemski,contributor
,"Copyright (c) 2018-2024 EDM Council, Inc.",copyright
SecuritiesModule,Bloomberg LP,contributor
SecuritiesModule,"Adaptive, Inc.",contributor
