id,type,name
2024-07-12T18:00:00,Entity,2024-07-12T18:00:00
Nordea Bank AB,Entity,Nordea Bank AB
Deutsche Bank,Entity,Deutsche Bank
Module,Entity,Module
"Copyright (c) 2018-2024 EDM Council, Inc.",Entity,"Copyright (c) 2018-2024 EDM Council, Inc."
BIAN,Entity,BIAN
Exprentis,Entity,Exprentis
FIBO SEC Securities Module,Entity,FIBO SEC Securities Module
securities module,Entity,securities module
Thematix Partners LLC,Entity,Thematix Partners LLC
Statistics Canada,Entity,Statistics Canada
Citigroup,Entity,Citigroup
Federated Knowledge LLC,Entity,Federated Knowledge LLC
Goldman Sachs,Entity,Goldman Sachs
John F. Tierney,Entity,John F. Tierney
Mizuho,Entity,Mizuho
owl#NamedIndividual,Entity,owl#NamedIndividual
,Entity,
This module defines concepts common to all securities contracts or referenced in multiple classes of security.,Entity,This module defines concepts common to all securities contracts or referenced in multiple classes of security.
Quarule,Entity,Quarule
"Metadata about the EDMC-FIBO Securities (SEC), Securities Module",Entity,"Metadata about the EDMC-FIBO Securities (SEC), Securities Module"
"Copyright (c) 2018-2024 Object Management Group, Inc.",Entity,"Copyright (c) 2018-2024 Object Management Group, Inc."
SecuritiesModule,Entity,SecuritiesModule
Office of Financial Research (US Dept of the Treasury),Entity,Office of Financial Research (US Dept of the Treasury)
"The SEC Securities Module covers basic information that are common to many securities, including classification schemes, parametric schedules, and common identification, issuance, listing, and restriction-specific concepts. This ontology provides metadata about the Securities module and its contents.",Entity,"The SEC Securities Module covers basic information that are common to many securities, including classification schemes, parametric schedules, and common identification, issuance, listing, and restriction-specific concepts. This ontology provides metadata about the Securities module and its contents."
2018-03-31T18:00:00,Entity,2018-03-31T18:00:00
"Adaptive, Inc.",Entity,"Adaptive, Inc."
Credit Suisse,Entity,Credit Suisse
"Wells Fargo Bank, N.A.",Entity,"Wells Fargo Bank, N.A."
owl#Ontology,Entity,owl#Ontology
State Street Bank and Trust,Entity,State Street Bank and Trust
John F. Gemski,Entity,John F. Gemski
Financial Industry Business Ontology (FIBO) Securities and Equities (SEC) Securities Module,Entity,Financial Industry Business Ontology (FIBO) Securities and Equities (SEC) Securities Module
Tahoe Blue Ltd,Entity,Tahoe Blue Ltd
 No Magic,Entity, No Magic
 Mphasis,Entity, Mphasis
MIT,Entity,MIT
Bloomberg LP,Entity,Bloomberg LP
agnos.ai U.K. Ltd,Entity,agnos.ai U.K. Ltd
