source_id,target_id,relationship
NonAgencyMBSIssuer,MBSIssuer,rdf-schema#subClassOf
GovernmentMortgageAgency,FunctionalEntity,rdf-schema#subClassOf
SpecialistMortgageIssuer,FunctionalBusinessEntity,rdf-schema#subClassOf
N6e6dda3da1584d6fb299998e84bbb8ab,owl#Restriction,22-rdf-syntax-ns#type
PassThroughMBSInstrument,owl#Class,22-rdf-syntax-ns#type
SBA-Pool,MortgagePool,rdf-schema#subClassOf
N82bd81cb067343659712be628ca33a17,owl#Restriction,22-rdf-syntax-ns#type
PassThroughMBSDeal,owl#Class,22-rdf-syntax-ns#type
N0db158ac292c4ad1bfab79949d0b060d,owl#Restriction,22-rdf-syntax-ns#type
isAlso,AgencyMBSDeal,rdf-schema#range
SBA-Pool,owl#Class,22-rdf-syntax-ns#type
,Mortgage-backed Securities Ontology,rdf-schema#label
MortgageBackedSecurity,"ISO 10962, Securities and related financial instruments - Classification of Financial Instruments (CFI code), Fourth edition, 2019-10-01.",adaptedFrom
AgencyMortgagePool,owl#Class,22-rdf-syntax-ns#type
MortgagePool,"The class Mortgage Pool originally had a property 'pool type' referring to a selection list of textual stylings of pool types. Those are now replaced with actual sub types of mortgage pool. Here are the original notes and definition that went with the enumerated list of pool types: 

The type of pool for a pool backed security. Each of these pool types represents pools of mortgages that have conformed to certain standards (that change periodically) that make them ""conforming"" -- such as mortgage balance under a certain threshold, creditworthiness, loan-to-value, etc.

Further Notes:
Non Agency signifies a tranched security, for which there will also be a Tranche Type for the security tranche itself. All other pool types are Agency pool types. 

List Populated from Cutter document Page 5. 

Additional terms from Adept Advistory:
Under Agency mortgages, basically you have various types of pools under the various agencies. You have:
-GNMA-I
-GNMA-II
-GNMA Platinum
-FNMA 
-FHLMC
-FHLMC Gold
As far as definitions:The simple definition is that each of these pool types represents pools of mortgages that have conformed to certain standards (that change periodically) that make them ""conforming"" -- such as mortgage balance under a certain threshold, creditworthiness, loan-to-value, etc. Also, GNMA is explicitly backed by the US government, while FNMA and FHLMC are only implicitly backed by the US government. Perhaps there needs to be some research done on the parameters for what makes a loan conforming or not. 

Consensus:Review.",core#editorialNote
MBSPool,A pool investment consisting of a collection of MBS instruments.,core#definition
IssuedAndSecuritizedNonAgencyMortgagePool,issued and securitized non agency mortgage pool,rdf-schema#label
PassThroughMBSInstrumentNote,PromissoryNote,rdf-schema#subClassOf
GovernmentMortgageAgency,owl#Class,22-rdf-syntax-ns#type
PassThroughMBSDealProspectus,owl#Class,22-rdf-syntax-ns#type
GovernmentMortgageAgency,An agency set up by a government for the purpose of issuing mortgages.,core#definition
N175fa149d0f94d1facd2cc5f2642e2fd,hasStage,owl#onProperty
NonAgencyMBSIssuer,owl#Class,22-rdf-syntax-ns#type
PassThroughMBSInstrument,MortgageBackedSecurity,rdf-schema#subClassOf
MortgagePool,N82bd81cb067343659712be628ca33a17,rdf-schema#subClassOf
IssuedAndSecuritizedNonAgencyMortgagePool,N5e908f2f26bf4b4694450f6cea61b450,rdf-schema#subClassOf
N55726cb3dedc441080a0b9373ba8bb24,Payment,owl#someValuesFrom
N4c04ae1c3b09491fad8fa78780bfb564,MBSIssuer,owl#someValuesFrom
ResidentialMBS,owl#Class,22-rdf-syntax-ns#type
PassThroughMBSInstrumentNote,pass through m b s instrument note,rdf-schema#label
Nc42be36e698d493bb0c416509a9a0439,Na3cbe16137ce4c229d19fc65401ea2c9,owl#unionOf
N0db158ac292c4ad1bfab79949d0b060d,isCharacterizedBy,owl#onProperty
,Mortgage backed securities are like asset backed securities except that the underlying loan pool is a pool of mortgage loans.,abstract
AgencyMBSDeal,owl#Class,22-rdf-syntax-ns#type
GovernmentMortgageAgency,"There are three such agencies in the United States: FNMA, GNMA and FHLMC (Fannie Mae, Ginnie Mae and Freddie Mac respectively), and there may be others outside of the US.",core#scopeNote
N86d4d4ba869943c1925c77c408ed36e0,owl#Restriction,22-rdf-syntax-ns#type
MortgageBackedSecurity,"Mortgage loans are purchased from banks, mortgage companies and other originators, and then assembled into pools by a governmental, quasigovernmental or private entity. The entity then issues securities that represent claims on the principal and interest payments made by borrowers on the loans in the pool, a process known as securitization.",explanatoryNote
N175fa149d0f94d1facd2cc5f2642e2fd,Issued,owl#someValuesFrom
denomination.1,PassThroughMBSInstrumentNote,rdf-schema#domain
MortgagePool,owl#Class,22-rdf-syntax-ns#type
PassThroughMBSIssueUnderwriter,pass through m b s issue underwriter,rdf-schema#label
PassThroughMBSIssueUnderwriter,SecurityUnderwriter,rdf-schema#subClassOf
hasNote,PromissoryNote,rdf-schema#range
PassThroughMBSInstrument,A security in which the cash flows from the underlying asset pool are passed through to the investor by way of redemption payments.,core#definition
ResidentialMBS,MortgageBackedSecurity,rdf-schema#subClassOf
N175fa149d0f94d1facd2cc5f2642e2fd,owl#Restriction,22-rdf-syntax-ns#type
MortgageBackedSecurity,owl#Class,22-rdf-syntax-ns#type
N46865eb03684454da8c7123a2867c764,hasNote,owl#onProperty
isAlso,is also,rdf-schema#label
NonAgencyMortgagePool,owl#Class,22-rdf-syntax-ns#type
MBSIssuer,Issuer,rdf-schema#subClassOf
AgencyMBSDeal,An issue of securities backed by pools of mortgages held by government agencies.,core#definition
AgencyMBSPool,owl#Class,22-rdf-syntax-ns#type
GNMA-iPool,GNMA-i pool,rdf-schema#label
