id,type,name
"To finance the public debt, the U.S. Treasury sells bills, notes, bonds, Floating Rate Notes (FRNs), and Treasury Inflation-Protected Securities (TIPS) to institutional and individual investors through public auctions. Treasury auctions occur regularly and have a set schedule. Rules and other information are available via announcements of pending auctions.",Entity,"To finance the public debt, the U.S. Treasury sells bills, notes, bonds, Floating Rate Notes (FRNs), and Treasury Inflation-Protected Securities (TIPS) to institutional and individual investors through public auctions. Treasury auctions occur regularly and have a set schedule. Rules and other information are available via announcements of pending auctions."
ParametricSchedules.rdf version of this ontology was modified to move certain very general concepts related to calculation dates and events to FND and to integrate concepts related to scheduled interest rate related events that were previously embedded in DER to make them available for broader use.,Entity,ParametricSchedules.rdf version of this ontology was modified to move certain very general concepts related to calculation dates and events to FND and to integrate concepts related to scheduled interest rate related events that were previously embedded in DER to make them available for broader use.
InternationalMoneyMarketSettlementDateRule,Entity,InternationalMoneyMarketSettlementDateRule
Nae8d3f69e8714beba6c8a6ccca4bcdc1,Entity,Nae8d3f69e8714beba6c8a6ccca4bcdc1
date returned by trading date rule,Entity,date returned by trading date rule
ParametricSchedules.rdf version of this ontology was modified to eliminate a hygiene issue related to parametric schedule.,Entity,ParametricSchedules.rdf version of this ontology was modified to eliminate a hygiene issue related to parametric schedule.
USTreasuryBillDate,Entity,USTreasuryBillDate
BusinessDayFollowing,Entity,BusinessDayFollowing
business recurrence interval convention that is a published rule for defining the date of some auction event,Entity,business recurrence interval convention that is a published rule for defining the date of some auction event
ParametricSchedules.rdf version of this ontology was modified to address text formatting hygiene issues.,Entity,ParametricSchedules.rdf version of this ontology was modified to address text formatting hygiene issues.
owl#Restriction,Entity,owl#Restriction
US Treasury bill auction date rule,Entity,US Treasury bill auction date rule
1,Entity,1
AuctionDateRule,Entity,AuctionDateRule
ParametricSchedules.rdf version of this ontology was modified to eliminate circular definitions.,Entity,ParametricSchedules.rdf version of this ontology was modified to eliminate circular definitions.
IMM settlement date rule,Entity,IMM settlement date rule
date returned by settlement date rule,Entity,date returned by settlement date rule
InternationalMoneyMarketCanadianDollarTradingDateRule,Entity,InternationalMoneyMarketCanadianDollarTradingDateRule
N8b4d3ac2e46a489c971a6edc4c756a14,Entity,N8b4d3ac2e46a489c971a6edc4c756a14
90-Day-bank-bill-futures-factsheet.pdf,Entity,90-Day-bank-bill-futures-factsheet.pdf
Nfc179fbc587d49f6b85af0acf37abb07,Entity,Nfc179fbc587d49f6b85af0acf37abb07
"ParametricSchedules.rdf version of this ontology was modified to move the property, 'is conferred on' to the Legal Capacity ontology and to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate.",Entity,"ParametricSchedules.rdf version of this ontology was modified to move the property, 'is conferred on' to the Legal Capacity ontology and to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate."
"definition, this is every Monday except on New York holidays when it will be on a Tuesday.",Entity,"definition, this is every Monday except on New York holidays when it will be on a Tuesday."
IMM CAD trading date rule,Entity,IMM CAD trading date rule
MIT,Entity,MIT
IMM NZD trading date rule,Entity,IMM NZD trading date rule
Nadaba7c935bd4dba90bf41af03391134,Entity,Nadaba7c935bd4dba90bf41af03391134
"An ISDA FpML schedule has a specified date (via a convention), and a date roll rule which is specified for the whole schedule and applies to each of the dates returned by the parametric specification of the schedule. It has: (1) a schedule beginning and end; (2) a set of regular repeating periods: the scheduled event takes place once per period; (3) optionally one or two stubs (one start and one end), which may be longer than the repeating period, or shorter. The precise parameters used are: Start of the overall Schedule period: Effective Date End of the overall Schedule period: Termination Date Start of first regular period: not specified (assume Effective Date) Length of each regular period: Frequency (a duration) There are generally three ways in which the regular periods of a parametric schedule may be expressed: first plus last first plus period length last plus period length event date plus period length. In FpML, Roll events (the date that something rolls over from the value used in one period to the value used in the next) is defined in a Roll Convention, which may be a day of the month, a day of the week, or some published set of dates, typically the ISDA quarterly dates for these events. This is therefore the date within the regular period (before adjustments) when the event occurs. This is in addition to a date for the start or end of such a period. In general this applies to the Calculation Schedule (i.e. the event is the calculation event) with other dates specified relative to this, however in principle the other related events (payment and reset or refix) are specified relative to this.",Entity,"An ISDA FpML schedule has a specified date (via a convention), and a date roll rule which is specified for the whole schedule and applies to each of the dates returned by the parametric specification of the schedule. It has: (1) a schedule beginning and end; (2) a set of regular repeating periods: the scheduled event takes place once per period; (3) optionally one or two stubs (one start and one end), which may be longer than the repeating period, or shorter. The precise parameters used are: Start of the overall Schedule period: Effective Date End of the overall Schedule period: Termination Date Start of first regular period: not specified (assume Effective Date) Length of each regular period: Frequency (a duration) There are generally three ways in which the regular periods of a parametric schedule may be expressed: first plus last first plus period length last plus period length event date plus period length. In FpML, Roll events (the date that something rolls over from the value used in one period to the value used in the next) is defined in a Roll Convention, which may be a day of the month, a day of the week, or some published set of dates, typically the ISDA quarterly dates for these events. This is therefore the date within the regular period (before adjustments) when the event occurs. This is in addition to a date for the start or end of such a period. In general this applies to the Calculation Schedule (i.e. the event is the calculation event) with other dates specified relative to this, however in principle the other related events (payment and reset or refix) are specified relative to this."
floating-rate note date,Entity,floating-rate note date
Parametric Schedules Ontology,Entity,Parametric Schedules Ontology
The International Money Market (IMM) is a division of the Chicago Mercantile Exchange (CME) that deals with the trading of currency and interest rate futures and options.,Entity,The International Money Market (IMM) is a division of the Chicago Mercantile Exchange (CME) that deals with the trading of currency and interest rate futures and options.
settlement date rule,Entity,settlement date rule
"Copyright (c) 2016-2024 EDM Council, Inc.",Entity,"Copyright (c) 2016-2024 EDM Council, Inc."
"calculated date associated with a floating-rate note, also known as a floater or FRN, which is a debt instrument with a variable interest rate",Entity,"calculated date associated with a floating-rate note, also known as a floater or FRN, which is a debt instrument with a variable interest rate"
BusinessRecurrenceIntervalConvention,Entity,BusinessRecurrenceIntervalConvention
floating-rate note date rule,Entity,floating-rate note date rule
IMM AUD trading date rule,Entity,IMM AUD trading date rule
ParametricSchedules.rdf version of this ontology was modified to rename (migrate) the hasDefinition property to isDefinedIn to clarify intent.,Entity,ParametricSchedules.rdf version of this ontology was modified to rename (migrate) the hasDefinition property to isDefinedIn to clarify intent.
FloatingRateNoteDate,Entity,FloatingRateNoteDate
"This ontology defines concepts related to parametric schedules, including how to represent individual schedules as well as related date periods, explicit dates, and other concepts needed for parametric schedule representation.",Entity,"This ontology defines concepts related to parametric schedules, including how to represent individual schedules as well as related date periods, explicit dates, and other concepts needed for parametric schedule representation."
trading date rule,Entity,trading date rule
BusinessDayPreceding,Entity,BusinessDayPreceding
"Copyright (c) 2018-2024 Object Management Group, Inc.",Entity,"Copyright (c) 2018-2024 Object Management Group, Inc."
calculated date that is determined via a trading rule,Entity,calculated date that is determined via a trading rule
ParametricSchedules.rdf version of this ontology was modified to eliminate elements that have been deprecated over six months (FND-386).,Entity,ParametricSchedules.rdf version of this ontology was modified to eliminate elements that have been deprecated over six months (FND-386).
FRN date rule,Entity,FRN date rule
FpML for CalculationPeriod 'A type defining the parameters used in the calculation of a fixed or floating rate calculation period amount. This type forms part of cashflows representation of a swap stream.',Entity,FpML for CalculationPeriod 'A type defining the parameters used in the calculation of a fixed or floating rate calculation period amount. This type forms part of cashflows representation of a swap stream.'
hasBusinessDayConvention,Entity,hasBusinessDayConvention
International Money Market (IMM) Australian Dollar (AUD) trading date rule,Entity,International Money Market (IMM) Australian Dollar (AUD) trading date rule
isDefinedIn,Entity,isDefinedIn
