source_id,target_id,relationship
Nb1c8d127a7e0440ba2f076b6de941e57,isCharacterizedBy,owl#onProperty
AssetBackedSecurity,"An asset-backed security (ABS) is a type of financial investment that is collateralized by an underlying pool of assets—usually ones that generate a cash flow from debt, such as loans, leases, credit card balances, or receivables. It takes the form of a bond or note, paying income at a fixed rate for a set amount of time, until maturity. ABS are financial securities backed by income-generating assets such as credit card receivables, home equity loans, student loans, and auto loans. Pooling assets into an ABS is a process called securitization. One difference between an ABS and a collateralized debt obligation (CDO) is that the CDO issuer is generally a special purpose vehicle (SPV) or trust.",explanatoryNote
,PoolBackedSecurities.rdf version of this ontology was modified to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).,core#changeNote
PrepaymentSpeed,"A prepayment model is used to estimate the level of prepayments (speed) on a loan portfolio that will occur in a set period of time, given possible changes in interest rates. Understanding prepayment speed is critical in assessing the value of mortgage pass-through securities. Prepayment models are based on mathematical equations and usually involve the analysis of historical prepayment trends to predict what will happen in the future. Prepayment models are often used to value mortgage pools such as GNMA securities or other securitized debt products, including mortgage-backed securities (MBS).",explanatoryNote
Nf3d3f18d7f4e4c4ea31e619dab91b55f,0,owl#minQualifiedCardinality
AttachmentPoint,structuring_CDO_JCR_oct12.pdf,adaptedFrom
PoolBackedSecurity,Nb1c8d127a7e0440ba2f076b6de941e57,rdf-schema#subClassOf
Nf96d33d881e54283aea991441e439588,InstrumentPool,owl#onClass
WeightedAverageCoupon,"The weighted average coupon (WAC) is calculated by taking the gross of the interest rates owed on the underlying mortgages of the MBS and weighting them according to the percentage of the security that each mortgage represents. The WAC represents the average interest rate of different pools of mortgages with varying interest rates. In the weighted average calculation, the principal balance of each underlying mortgage is used as the weighting factor. To calculate the WAC, the coupon rate of each mortgage or MBS is multiplied by its remaining principal balance. The results are added together, and the sum total is divided by the remaining balance. A mortgage-backed security's current WAC can differ from its original WAC as the underlying mortgages pay down at different speeds. In the weighted-average calculation, the principal balance of each underlying mortgage is used as the weighting factor.",explanatoryNote
N261c78d8f46e447184f0dfc40ee600de,0,owl#minQualifiedCardinality
AbsolutePrepaymentRate,"The ABS measurement differs from conditional prepayment rate (CPR) used in the mortgage industry, which measures prepayment as an annualized percentage of the current pool balance.",explanatoryNote
WeightedAverageMaturity,"This term is used more broadly to describe maturities in a portfolio of debt securities, including corporate debt and municipal bonds. The higher the WAM, the longer it takes for all of the mortgages or bonds in the portfolio to mature. WAM is used to manage debt portfolios and to assess the performance of debt portfolio managers.",explanatoryNote
AssetBackedSecurity,owl#Class,22-rdf-syntax-ns#type
Na21a4e7e6a3c4f87bc5cfcb6822e4317,owl#Restriction,22-rdf-syntax-ns#type
SingleMonthlyMortality,SMM,abbreviation
DefaultRate,owl#Class,22-rdf-syntax-ns#type
PoolBackedSecurity,TradableDebtInstrument,rdf-schema#subClassOf
N261c78d8f46e447184f0dfc40ee600de,isEstimatedValueOf,owl#onProperty
Tranche,Na21a4e7e6a3c4f87bc5cfcb6822e4317,rdf-schema#subClassOf
WeightedAverageLife,owl#Class,22-rdf-syntax-ns#type
WeightedAverageLoanAge,weighted average loan age,rdf-schema#label
SingleMonthlyMortality,owl#Class,22-rdf-syntax-ns#type
hasDetachmentPoint,DetachmentPoint,rdf-schema#range
PoolBackedSecurity,pool-backed security,rdf-schema#label
Ne13c301207e8480bab9db485aedbcde5,InstrumentPool,owl#someValuesFrom
StructuredFinanceInstrument,PoolBackedSecurity,rdf-schema#subClassOf
Nef77d7fbf25249b08a059eef975eab30,isPlayedBy,owl#onProperty
PrincipalProtectedNote,"There are one or more reference entities underlying the product. Redemption is made at least in the amount of the conditional capital protection at maturity, provided that no credit event by the reference entity has occurred. Conditional capital protection only applies to the nominal amount and not to the purchase price. The general functioning of a capital guaranteed structured instrument is as follows: the notional amount is split into a zero bond, that will deliver the capital guarantee at maturity, and the difference between the zero bond's value (= present value of the guarantee level at maturity) and the notional amount is used for structuring the performance component with options which deliver the agreed pay-off profile of the structured instrument.",explanatoryNote
Tranche,Nf7dc5630064648d5bdde053d4b30c6f1,rdf-schema#subClassOf
Nf96d33d881e54283aea991441e439588,1,owl#qualifiedCardinality
WeightedAverageRemainingTerm,owl#Class,22-rdf-syntax-ns#type
Ndc7a34edb643495b9e89d1a4fe613d76,isIssuedBy,owl#onProperty
SingleMonthlyMortality,DebtPoolStatisticalMeasure,rdf-schema#subClassOf
DebtPoolStatisticalMeasure,QualifiedMeasure,rdf-schema#subClassOf
hasAttachmentPoint,has attachment point,rdf-schema#label
Ndc7a34edb643495b9e89d1a4fe613d76,Nef77d7fbf25249b08a059eef975eab30,owl#someValuesFrom
WeightedAverageLife,ArithmeticMean,rdf-schema#subClassOf
AttachmentPoint,"A CDO tranche becomes liable for losses when the total amount of defaults or losses in the underlying debt pool exceeds a certain threshold, called the attachment point. The attachment point is expressed as a percentage of the total value of the debt pool. In other words, the attachment point is the level of subordination above which a given tranche stands. Note that the notion of 'liability for loss' is in a financial or econonmic sense rather than a legal sense.",explanatoryNote
Tranche,tranche,rdf-schema#label
