id,type,name
"There are one or more reference entities underlying the product. Redemption is made at least in the amount of the conditional capital protection at maturity, provided that no credit event by the reference entity has occurred. Conditional capital protection only applies to the nominal amount and not to the purchase price. The general functioning of a capital guaranteed structured instrument is as follows: the notional amount is split into a zero bond, that will deliver the capital guarantee at maturity, and the difference between the zero bond's value (= present value of the guarantee level at maturity) and the notional amount is used for structuring the performance component with options which deliver the agreed pay-off profile of the structured instrument.",Entity,"There are one or more reference entities underlying the product. Redemption is made at least in the amount of the conditional capital protection at maturity, provided that no credit event by the reference entity has occurred. Conditional capital protection only applies to the nominal amount and not to the purchase price. The general functioning of a capital guaranteed structured instrument is as follows: the notional amount is split into a zero bond, that will deliver the capital guarantee at maturity, and the difference between the zero bond's value (= present value of the guarantee level at maturity) and the notional amount is used for structuring the performance component with options which deliver the agreed pay-off profile of the structured instrument."
WALA,Entity,WALA
"This is defined by the issuer. WALA is more official, not an analysis from a vendor. This changes but the values are relayed by the issuer on an ongoing basis. Investopedia explains Weighted Average Loan Age - WALA The weighted average age will change over time as some mortgages get paid off faster than others. Based on the issuer of the mortgage-backed securities (MBS), the WALA may be weighted on the remaining principal balance dollar figure, or the beginning notional value of the loan. The flip side of the WALA is the weighted average maturity (WAM), which is a dollar-weighted measure of the months remaining until the principal amounts are completely repaid on each loan in the pool.",Entity,"This is defined by the issuer. WALA is more official, not an analysis from a vendor. This changes but the values are relayed by the issuer on an ongoing basis. Investopedia explains Weighted Average Loan Age - WALA The weighted average age will change over time as some mortgages get paid off faster than others. Based on the issuer of the mortgage-backed securities (MBS), the WALA may be weighted on the remaining principal balance dollar figure, or the beginning notional value of the loan. The flip side of the WALA is the weighted average maturity (WAM), which is a dollar-weighted measure of the months remaining until the principal amounts are completely repaid on each loan in the pool."
"segment of a pool of securities, typically debt instruments",Entity,"segment of a pool of securities, typically debt instruments"
Na21a4e7e6a3c4f87bc5cfcb6822e4317,Entity,Na21a4e7e6a3c4f87bc5cfcb6822e4317
Ndc7a34edb643495b9e89d1a4fe613d76,Entity,Ndc7a34edb643495b9e89d1a4fe613d76
WART,Entity,WART
Nef77d7fbf25249b08a059eef975eab30,Entity,Nef77d7fbf25249b08a059eef975eab30
"The higher the attachment point, the lower the risk and the return for the tranche. The lower the attachment point, the higher the risk and the return for the tranche. The most senior tranches have the highest attachment points and are paid first from the cash flows of the debt pool. The most junior tranches have the lowest attachment points and are paid last from the cash flows of the debt pool. The junior tranches also bear the first losses when defaults occur in the debt pool.",Entity,"The higher the attachment point, the lower the risk and the return for the tranche. The lower the attachment point, the higher the risk and the return for the tranche. The most senior tranches have the highest attachment points and are paid first from the cash flows of the debt pool. The most junior tranches have the lowest attachment points and are paid last from the cash flows of the debt pool. The junior tranches also bear the first losses when defaults occur in the debt pool."
owl#Restriction,Entity,owl#Restriction
structured finance without principal protection,Entity,structured finance without principal protection
estimated rate at which a debt or part of a debt is paid off ahead of schedule,Entity,estimated rate at which a debt or part of a debt is paid off ahead of schedule
PoolBackedSecurities.rdf version of this ontology was modified to add a number of commonly used pool-backed security related statistical measures.,Entity,PoolBackedSecurities.rdf version of this ontology was modified to add a number of commonly used pool-backed security related statistical measures.
"A weighted average loan age (WALA) may apply to pool-backed securities such as Ginnie Mae or Freddie Mac securities. The WALA is measured as the time in months since the origination of the loans, with the weighting based on each loan's size in proportion to the aggregate total of the pool.",Entity,"A weighted average loan age (WALA) may apply to pool-backed securities such as Ginnie Mae or Freddie Mac securities. The WALA is measured as the time in months since the origination of the loans, with the weighting based on each loan's size in proportion to the aggregate total of the pool."
pool-backed security wherein the risk associated with the pool has been uncoupled from the risk associated with the originating institution through a special purpose vehicle,Entity,pool-backed security wherein the risk associated with the pool has been uncoupled from the risk associated with the originating institution through a special purpose vehicle
PrincipalProtectedNote,Entity,PrincipalProtectedNote
"PoolBackedSecurities.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate, and added an explanatory note to ABS.",Entity,"PoolBackedSecurities.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate, and added an explanatory note to ABS."
"A CDO tranche becomes liable for losses when the total amount of defaults or losses in the underlying debt pool exceeds a certain threshold, called the attachment point. The attachment point is expressed as a percentage of the total value of the debt pool. In other words, the attachment point is the level of subordination above which a given tranche stands. Note that the notion of 'liability for loss' is in a financial or econonmic sense rather than a legal sense.",Entity,"A CDO tranche becomes liable for losses when the total amount of defaults or losses in the underlying debt pool exceeds a certain threshold, called the attachment point. The attachment point is expressed as a percentage of the total value of the debt pool. In other words, the attachment point is the level of subordination above which a given tranche stands. Note that the notion of 'liability for loss' is in a financial or econonmic sense rather than a legal sense."
isIssuedBy,Entity,isIssuedBy
1,Entity,1
TradableDebtInstrument,Entity,TradableDebtInstrument
isPlayedBy,Entity,isPlayedBy
detachment point,Entity,detachment point
Nc22afc3556814a46b0befc06c1aa8f4f,Entity,Nc22afc3556814a46b0befc06c1aa8f4f
structured finance instrument,Entity,structured finance instrument
100 + (SMM X (Age - 1).,Entity,100 + (SMM X (Age - 1).
Nb1c8d127a7e0440ba2f076b6de941e57,Entity,Nb1c8d127a7e0440ba2f076b6de941e57
"This term is used more broadly to describe maturities in a portfolio of debt securities, including corporate debt and municipal bonds. The higher the WAM, the longer it takes for all of the mortgages or bonds in the portfolio to mature. WAM is used to manage debt portfolios and to assess the performance of debt portfolio managers.",Entity,"This term is used more broadly to describe maturities in a portfolio of debt securities, including corporate debt and municipal bonds. The higher the WAM, the longer it takes for all of the mortgages or bonds in the portfolio to mature. WAM is used to manage debt portfolios and to assess the performance of debt portfolio managers."
Ne13c301207e8480bab9db485aedbcde5,Entity,Ne13c301207e8480bab9db485aedbcde5
owl#DatatypeProperty,Entity,owl#DatatypeProperty
hasApplicablePeriod,Entity,hasApplicablePeriod
MIT,Entity,MIT
weighted average amount of time until the maturities on mortgages in a mortgage-backed security (MBS),Entity,weighted average amount of time until the maturities on mortgages in a mortgage-backed security (MBS)
structured finance,Entity,structured finance
debt instrument backed by receivables other than those arising out of real estate loans or mortgages,Entity,debt instrument backed by receivables other than those arising out of real estate loans or mortgages
weighted average remaining term,Entity,weighted average remaining term
structuring_CDO_JCR_oct12.pdf,Entity,structuring_CDO_JCR_oct12.pdf
debt instrument that derives its cashflow from an underlying pool of mortgage loans or other receivables,Entity,debt instrument that derives its cashflow from an underlying pool of mortgage loans or other receivables
debt pool statistical measure,Entity,debt pool statistical measure
cgfs23mitchell.pdf,Entity,cgfs23mitchell.pdf
"The weighted average coupon (WAC) is calculated by taking the gross of the interest rates owed on the underlying mortgages of the MBS and weighting them according to the percentage of the security that each mortgage represents. The WAC represents the average interest rate of different pools of mortgages with varying interest rates. In the weighted average calculation, the principal balance of each underlying mortgage is used as the weighting factor. To calculate the WAC, the coupon rate of each mortgage or MBS is multiplied by its remaining principal balance. The results are added together, and the sum total is divided by the remaining balance. A mortgage-backed security's current WAC can differ from its original WAC as the underlying mortgages pay down at different speeds. In the weighted-average calculation, the principal balance of each underlying mortgage is used as the weighting factor.",Entity,"The weighted average coupon (WAC) is calculated by taking the gross of the interest rates owed on the underlying mortgages of the MBS and weighting them according to the percentage of the security that each mortgage represents. The WAC represents the average interest rate of different pools of mortgages with varying interest rates. In the weighted average calculation, the principal balance of each underlying mortgage is used as the weighting factor. To calculate the WAC, the coupon rate of each mortgage or MBS is multiplied by its remaining principal balance. The results are added together, and the sum total is divided by the remaining balance. A mortgage-backed security's current WAC can differ from its original WAC as the underlying mortgages pay down at different speeds. In the weighted-average calculation, the principal balance of each underlying mortgage is used as the weighting factor."
Nf3d3f18d7f4e4c4ea31e619dab91b55f,Entity,Nf3d3f18d7f4e4c4ea31e619dab91b55f
