source_id,target_id,relationship
AssetClass,asset class,rdf-schema#label
Nd34167fa39684ada885bc4674f7cf630,isDefinedIn,owl#onProperty
Ne1623df5fd564230bea531eb8cbae393,FinancialInstrumentClassifier,owl#onClass
ClassificationOfFinancialInstrumentsCodeScheme,73564.html,adaptedFrom
,SecuritiesClassification.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,core#changeNote
,"Copyright (c) 2018-2023 Object Management Group, Inc.",copyright
IndustryClassificationBenchmarkScheme,"It is operated and managed by FTSE Russell, a subsidiary of London Stock Exchange Group (LSEG). It is currently one of the major classification systems for securities. This system has been in use since its release in 2005. It is globally recognized and used by some of the biggest financial institutions, such as: London Stock Exchange, NYSE Euronext and NASDAQ.",explanatoryNote
N2ea624572a6047f2b6aba09af028ab14,owl#Restriction,22-rdf-syntax-ns#type
IndustryClassificationBenchmarkClassifier,ICB classifier,abbreviation
Nd34167fa39684ada885bc4674f7cf630,owl#Restriction,22-rdf-syntax-ns#type
GlobalIndustryClassificationStandardsClassifier,CodeElement,rdf-schema#subClassOf
AssetClass,FinancialInstrumentClassifier,rdf-schema#subClassOf
ISO10962-201910-CodeScheme,ClassificationOfFinancialInstrumentsCodeScheme,22-rdf-syntax-ns#type
Na9a02e70b2b44d7b9a876a79af6619a0,isDefinedIn,owl#onProperty
IndustryClassificationBenchmarkClassifier,CodeElement,rdf-schema#subClassOf
N44b9f2670da0408a88dfa04768960552,defines,owl#onProperty
,"SecuritiesClassification.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate.",core#changeNote
GlobalIndustryClassificationStandardsScheme,GICS,acronym
Nae1dc9bf435546b98ae4e24ede592f13,1,owl#qualifiedCardinality
Na4f64e01bb8242a7a8db97e5798b53dd,IndustryClassificationBenchmarkScheme,owl#hasValue
FinancialInstrumentClassificationCode,classifier and code for a financial instrument defined in the ISO 10962 Classification of Financial Instruments (CFI) Code Scheme,core#definition
N9bcea5afaa204e009e90992cd9327d3f,FinancialInstrument,owl#someValuesFrom
N2ea624572a6047f2b6aba09af028ab14,Security,owl#someValuesFrom
ClassificationOfFinancialInstrumentsCodeScheme,owl#Class,22-rdf-syntax-ns#type
IndustryClassificationBenchmarkClassifier,owl#Class,22-rdf-syntax-ns#type
FinancialInstrumentClassifier,Na9a02e70b2b44d7b9a876a79af6619a0,rdf-schema#subClassOf
,Securities Classification Ontology,rdf-schema#label
ClassificationOfFinancialInstrumentsCodeScheme,The ISO 10962 Securities and related financial instruments - Classification of financial instruments (CFI) code was developed as a solution to a number of challenges. One is to establish a series of codes which clearly classify financial instruments having similar features. The other is to develop a glossary of terms and provide common definitions which allow market participants to easily understand terminology being used.,explanatoryNote
FinancialInstrumentClassificationScheme,owl#Class,22-rdf-syntax-ns#type
FinancialInstrumentClassifier,Classifier,rdf-schema#subClassOf
FinancialInstrument,owl#Class,22-rdf-syntax-ns#type
GlobalIndustryClassificationStandardsScheme,classification scheme that is a hierarchical four-level system classifying companies based on the principal business activity of the organization,core#definition
,,owl#imports
FinancialInstrumentClassificationCode,FinancialInstrumentClassifier,rdf-schema#subClassOf
FinancialInstrumentClassificationScheme,N7804964c1fda42598b8a5b5393b3c8f4,rdf-schema#subClassOf
GlobalIndustryClassificationStandardsScheme,IndustrySectorClassificationScheme,22-rdf-syntax-ns#type
Na9a02e70b2b44d7b9a876a79af6619a0,FinancialInstrumentClassificationScheme,owl#onClass
N7804964c1fda42598b8a5b5393b3c8f4,FinancialInstrumentClassifier,owl#allValuesFrom
GlobalIndustryClassificationStandardsScheme,Global Industry Classification Standards scheme,rdf-schema#label
,,owl#versionIRI
ClassificationOfFinancialInstrumentsCodeScheme,FinancialInstrumentClassificationScheme,rdf-schema#subClassOf
GlobalIndustryClassificationStandardsScheme,owl#NamedIndividual,22-rdf-syntax-ns#type
,owl#Ontology,22-rdf-syntax-ns#type
,"Copyright (c) 2016-2023 EDM Council, Inc.",copyright
GlobalIndustryClassificationStandardsClassifier,owl#Class,22-rdf-syntax-ns#type
ISO10962-201910-CodeScheme,owl#NamedIndividual,22-rdf-syntax-ns#type
ClassificationOfFinancialInstrumentsCodeScheme,CFI code scheme,abbreviation
FinancialInstrumentClassificationCode,financial instrument classification code,rdf-schema#label
FinancialInstrument,N38d3fc708135488ca976fc50d66ac9a9,rdf-schema#subClassOf
N9bcea5afaa204e009e90992cd9327d3f,owl#Restriction,22-rdf-syntax-ns#type
IndustryClassificationBenchmarkScheme,Industry Classification Benchmark scheme,rdf-schema#label
FinancialInstrumentClassificationScheme,classification scheme defining a set of classifiers for financial instruments,core#definition
ISO10962-201910-CodeScheme,ISO 10962 2019-10 code set,rdf-schema#label
IndustryClassificationBenchmarkClassifier,Na4f64e01bb8242a7a8db97e5798b53dd,rdf-schema#subClassOf
Nd34167fa39684ada885bc4674f7cf630,GlobalIndustryClassificationStandardsScheme,owl#hasValue
N44b9f2670da0408a88dfa04768960552,FinancialInstrumentClassificationCode,owl#someValuesFrom
,"SecuritiesClassification.rdf version of this ontology was revised to replace uses of hasTag in Relations with hasTag from LCC, as the more complex union of datatypes in the Relations concept is not needed here.",core#changeNote
GlobalIndustryClassificationStandardsClassifier,Global Industry Classification Standards classifier,rdf-schema#label
AssetClass,"The three main asset classes are equities, or stocks; fixed income, or bonds; and cash equivalents, or money market instruments. Some investment professionals add real estate and commodities, and possibly other types of investments, to the asset class mix.",explanatoryNote
IndustryClassificationBenchmarkScheme,ICB,acronym
,SecuritiesClassification.rdf version of this ontology was modified to add an class representing the ISO 10962 CFI standard and an individual for the 2019 version of that standard.,core#changeNote
FinancialInstrumentClassificationCode,73564.html,adaptedFrom
,SecuritiesClassification.rdf version of this ontology was modified to eliminate duplication of concepts in LCC.,core#changeNote
GlobalIndustryClassificationStandardsClassifier,GICS classifier,abbreviation
AssetClass,assetclasses.asp,adaptedFrom
IndustryClassificationBenchmarkScheme,classification scheme that is a hierarchical four-level system classifying companies based on their main source of revenue,core#definition
AssetClass,N2ea624572a6047f2b6aba09af028ab14,rdf-schema#subClassOf
FinancialInstrumentClassificationCode,N80c046bbb2f146efa4ccf84edc14801c,rdf-schema#subClassOf
AssetClass,"financial instrument classifier for a group of securities that exhibit similar characteristics, behave similarly in the marketplace and are subject to the same laws and regulations",core#definition
ClassificationOfFinancialInstrumentsCodeScheme,N44b9f2670da0408a88dfa04768960552,rdf-schema#subClassOf
FinancialInstrumentClassifier,classifier for a financial instrument based on its type and features,core#definition
Na4f64e01bb8242a7a8db97e5798b53dd,isDefinedIn,owl#onProperty
Nae1dc9bf435546b98ae4e24ede592f13,owl#Restriction,22-rdf-syntax-ns#type
Nae1dc9bf435546b98ae4e24ede592f13,hasTag,owl#onProperty
N80c046bbb2f146efa4ccf84edc14801c,owl#Restriction,22-rdf-syntax-ns#type
Na9a02e70b2b44d7b9a876a79af6619a0,owl#Restriction,22-rdf-syntax-ns#type
Ne1623df5fd564230bea531eb8cbae393,0,owl#minQualifiedCardinality
IndustryClassificationBenchmarkClassifier,industry classification benchmark classifier,rdf-schema#label
N7804964c1fda42598b8a5b5393b3c8f4,owl#Restriction,22-rdf-syntax-ns#type
,SecuritiesClassification.rdf version of this ontology was revised to eliminate a reasoning issue with respect to the CFI codes related to making the classification code a code element (which makes it a code that applies to exactly one thing).,core#changeNote
FinancialInstrumentClassifier,owl#Class,22-rdf-syntax-ns#type
GlobalIndustryClassificationStandardsClassifier,four-tiered standardized classification or delineation for an organization based on the principal business activity of the organization,core#definition
Nae1dc9bf435546b98ae4e24ede592f13,XMLSchema#string,owl#onDataRange
N38d3fc708135488ca976fc50d66ac9a9,owl#Restriction,22-rdf-syntax-ns#type
,"This ontology defines the fundamental concepts for classifying financial instruments, particularly securities, including, but not limited to classification schemes developed by government, regulatory agencies, and industry to classify the issuers of such securities as well as the securities themselves.",abstract
FinancialInstrumentClassificationScheme,the ISO 10962 Classification of Financial Instruments (CFI) classification scheme,core#example
N38d3fc708135488ca976fc50d66ac9a9,isClassifiedBy,owl#onProperty
,SecuritiesClassification.rdf version of this ontology was augmented to include additional securities classification schemes that are widely used (SEC-119).,core#changeNote
N80c046bbb2f146efa4ccf84edc14801c,ClassificationOfFinancialInstrumentsCodeScheme,owl#onClass
FinancialInstrumentClassificationCode,owl#Class,22-rdf-syntax-ns#type
AssetClass,owl#Class,22-rdf-syntax-ns#type
Ne1623df5fd564230bea531eb8cbae393,isClassifiedBy,owl#onProperty
IndustryClassificationBenchmarkScheme,industry-classification-benchmark-icb,adaptedFrom
FinancialInstrumentClassificationScheme,ClassificationScheme,rdf-schema#subClassOf
,Release,hasMaturityLevel
GlobalIndustryClassificationStandardsScheme,gics,adaptedFrom
FinancialInstrumentClassificationScheme,financial instrument classification scheme,rdf-schema#label
N9bcea5afaa204e009e90992cd9327d3f,classifies,owl#onProperty
N44b9f2670da0408a88dfa04768960552,owl#Restriction,22-rdf-syntax-ns#type
,MIT,license
GlobalIndustryClassificationStandardsClassifier,Nd34167fa39684ada885bc4674f7cf630,rdf-schema#subClassOf
N80c046bbb2f146efa4ccf84edc14801c,isDefinedIn,owl#onProperty
IndustryClassificationBenchmarkClassifier,ICB code,abbreviation
N80c046bbb2f146efa4ccf84edc14801c,1,owl#qualifiedCardinality
Na9a02e70b2b44d7b9a876a79af6619a0,1,owl#qualifiedCardinality
ClassificationOfFinancialInstrumentsCodeScheme,classification of financial instruments code scheme,rdf-schema#label
N2ea624572a6047f2b6aba09af028ab14,classifies,owl#onProperty
ClassificationOfFinancialInstrumentsCodeScheme,classification scheme for set of codes for financial instruments that can be used globally for straight-through processing by all involved participants in an electronic data processing environment,core#definition
IndustryClassificationBenchmarkScheme,IndustrySectorClassificationScheme,22-rdf-syntax-ns#type
Na4f64e01bb8242a7a8db97e5798b53dd,owl#Restriction,22-rdf-syntax-ns#type
IndustryClassificationBenchmarkClassifier,standardized classification or delineation for an organization based on their main source of revenue,core#definition
,SecuritiesClassification.rdf version of this ontology was modified to rename (migrate) the hasDefinition property to isDefinedIn to clarify intent.,core#changeNote
GlobalIndustryClassificationStandardsScheme,"The four tiers are: Sectors, Industry Groups, Industries and Sub-Industries. All definitions are standardized and applied to companies globally. Each company is assigned a single GICS classification in each of the four tiers, according to its principal business activity. Revenue is a key factor in determining a firm's principal business activity. MSCI and S&P Dow Jones Indices developed this classification standard to provide investors with consistent and exhaustive industry definitions.",explanatoryNote
FinancialInstrumentClassificationCode,Nae1dc9bf435546b98ae4e24ede592f13,rdf-schema#subClassOf
AssetClass,45.1,adaptedFrom
AssetClass,"Asset class means the broad category of goods, services or commodities, including any 'excluded commodity' as defined in CEA section 1a(19), with common characteristics underlying a swap. The asset classes include credit, equity, foreign exchange (excluding cross-currency), interest rate (including cross-currency), other commodity, and such other asset classes as may be determined by the Commission.",explanatoryNote
ISO10962-201910-CodeScheme,"Fourth Edition, 2019-10 version of the ISO 10962 Classification of Financial Instruments (CFI) Code scheme",core#definition
GlobalIndustryClassificationStandardsClassifier,IndustrySectorClassifier,rdf-schema#subClassOf
IndustryClassificationBenchmarkScheme,owl#NamedIndividual,22-rdf-syntax-ns#type
FinancialInstrumentClassifier,financial instrument classifier,rdf-schema#label
FinancialInstrument,Ne1623df5fd564230bea531eb8cbae393,rdf-schema#subClassOf
FinancialInstrumentClassifier,N9bcea5afaa204e009e90992cd9327d3f,rdf-schema#subClassOf
IndustryClassificationBenchmarkClassifier,IndustrySectorClassifier,rdf-schema#subClassOf
N38d3fc708135488ca976fc50d66ac9a9,IndustrySectorClassifier,owl#onClass
Ne1623df5fd564230bea531eb8cbae393,owl#Restriction,22-rdf-syntax-ns#type
N38d3fc708135488ca976fc50d66ac9a9,0,owl#minQualifiedCardinality
N7804964c1fda42598b8a5b5393b3c8f4,defines,owl#onProperty
GlobalIndustryClassificationStandardsClassifier,GICS code,abbreviation
FinancialInstrumentClassifier,"Examples include equity instrument, debt instrument, option, future, etc. per the the ISO 10962 CFI (Classification of Financial Instruments) standard, as cash instruments or derivative instruments per the Financial Accounting Standards Board (FASB) and International Accounting Standards Board (IASB) accounting standards, and so forth.",core#example
FinancialInstrumentClassificationCode,CFI code,abbreviation
