source_id,target_id,relationship
CUSIPInternationalNumberingSystemNumber,CINS,abbreviation
CommonCodeRegistryEntry,N4f8a293768a24ea08626b2e163e3ab3d,rdf-schema#subClassOf
Ne47a5133a0714940bec2b54eb2c4de56,SIXFinancialInformation,owl#hasValue
TelekursId,Telekurs Id,rdf-schema#label
FinancialInstrumentGlobalIdentifierScheme,FinancialInstrumentGlobalIdentifierRegistry,describes
Nfdf09341a29d4bbf98871bced4e79744,owl#Restriction,22-rdf-syntax-ns#type
,SecuritiesIdentificationIndividuals.rdf version of this ontology was modified to eliminate elements that have been deprecated for over six months (FND-386).,core#changeNote
FinancialInstrumentGlobalIdentifierRegistry,owl#NamedIndividual,22-rdf-syntax-ns#type
RefinitivInstrumentCode,ric-code-understandingidentificaiton.html,adaptedFrom
Euroclear,CentralSecuritiesDepository,22-rdf-syntax-ns#type
Euroclear,ClearingBank,22-rdf-syntax-ns#type
CUSIPInternationalNumberingSystemNumber,CINS number,synonym
N20e70c58b3aa42ad99b90e16cca54591,owl#Restriction,22-rdf-syntax-ns#type
CommitteeOnUniformSecuritiesIdentificationProceduresNumber,N9512533f91de44d18b7783cc30032a07,rdf-schema#subClassOf
RefinitivInstrumentCode,Nd5e743d87d4441da90c75455d7212e7e,rdf-schema#subClassOf
N80300dcb7ccb441497a7d0d57b700c31,Nb02ea33542144c46bd8bc79656c5f218,owl#allValuesFrom
CUSIPGlobalServices,,rdf-schema#seeAlso
Nd9924fc0be074e72bf9d97ede641ffaa,FinancialInstrument,22-rdf-syntax-ns#first
Nb59a46a43e6946e28f4c694605577b3c,isRegisteredIn,owl#onProperty
Nb59a46a43e6946e28f4c694605577b3c,owl#Restriction,22-rdf-syntax-ns#type
CommitteeOnUniformSecuritiesIdentificationProceduresNumber,about-cgs-identifiers.htm,rdf-schema#seeAlso
RefinitivInstrumentCode,Ndb39daa1404a4f4fa381a799e4235eec,rdf-schema#subClassOf
Nb02ea33542144c46bd8bc79656c5f218,Na5d3418948f04da2a1ac5e49310e83f7,owl#oneOf
FinancialInstrumentGlobalIdentifierRegistryEntry,N78232a9374594558bfaf6fb7b384cb2e,rdf-schema#subClassOf
FinancialInstrumentGlobalIdentifier,owl#Class,22-rdf-syntax-ns#type
N1fa6d9f8e3d84e57b1bf7d033fd1a2a0,isRegisteredBy,owl#onProperty
N5ee77cdf56f146a4861bcdfee4efdf61,owl#Restriction,22-rdf-syntax-ns#type
EuroclearClearstreamCommonCode,Euroclear Clearstream common code,rdf-schema#label
EuroclearClearstreamCommonCode,ProprietarySecurityIdentifier,rdf-schema#subClassOf
Naec10959aa334bf18edbb3e13347796e,owl#Restriction,22-rdf-syntax-ns#type
N202fb58b612d4254a44c93826ee90ee7,owl#Restriction,22-rdf-syntax-ns#type
