id,type,name
LegalHoldingRestriction,Entity,LegalHoldingRestriction
Regulation,Entity,Regulation
legal obligation that is applicable to a financial instrument or listing as mandated in a law or by contract,Entity,legal obligation that is applicable to a financial instrument or listing as mandated in a law or by contract
has holding period,Entity,has holding period
Naddff7b5b8424fa4bba262f31e282a17,Entity,Naddff7b5b8424fa4bba262f31e282a17
N12679ea3562740659ec67eaf2fd50e15,Entity,N12679ea3562740659ec67eaf2fd50e15
owl#Restriction,Entity,owl#Restriction
ContractualRestriction,Entity,ContractualRestriction
regulation codified in law specific to securities and investments,Entity,regulation codified in law specific to securities and investments
StatuteLaw,Entity,StatuteLaw
hasDatePeriod,Entity,hasDatePeriod
"investor that is a person, rather than an organization, who may or may not be considered a qualified investor from a legal perspective",Entity,"investor that is a person, rather than an organization, who may or may not be considered a qualified investor from a legal perspective"
Securities Restrictions Ontology,Entity,Securities Restrictions Ontology
isPlayedBy,Entity,isPlayedBy
specifies,Entity,specifies
securities restriction,Entity,securities restriction
Contract,Entity,Contract
N38ebe545c94c45dca20a6fc486e2d679,Entity,N38ebe545c94c45dca20a6fc486e2d679
SecuritiesRestrictions.rdf version of the ontology was modified to eliminate an unused ontology import and to augment the information associated with references needed to define depositary receipts.,Entity,SecuritiesRestrictions.rdf version of the ontology was modified to eliminate an unused ontology import and to augment the information associated with references needed to define depositary receipts.
defines,Entity,defines
InvestorsDomicileRestriction,Entity,InvestorsDomicileRestriction
Listing,Entity,Listing
SecuritiesRestrictions.rdf version of this ontology was revised to reuse the representation of institutions based on their definitions in the law.,Entity,SecuritiesRestrictions.rdf version of this ontology was revised to reuse the representation of institutions based on their definitions in the law.
identifies a restriction applicable to a given financial instrument or listing,Entity,identifies a restriction applicable to a given financial instrument or listing
SecuritiesRestrictions.rdf version of the ontology was modified to reflect the change in representation of a listing.,Entity,SecuritiesRestrictions.rdf version of the ontology was modified to reflect the change in representation of a listing.
"Institutional investors typically buy, sell, and manage stocks, bonds, and other investment securities on behalf of its clients, customers, members, or shareholders. These include endowment funds, commercial banks, mutual funds, hedge funds, pension funds, and insurance companies. Institutional investors are able to invest in riskier securities and ventures than average investors because they are more sophisticated with respect to their investment methodologies.",Entity,"Institutional investors typically buy, sell, and manage stocks, bonds, and other investment securities on behalf of its clients, customers, members, or shareholders. These include endowment funds, commercial banks, mutual funds, hedge funds, pension funds, and insurance companies. Institutional investors are able to invest in riskier securities and ventures than average investors because they are more sophisticated with respect to their investment methodologies."
MIT,Entity,MIT
Nfaf2ce2dafff4e4fae6a6bce0eac49b3,Entity,Nfaf2ce2dafff4e4fae6a6bce0eac49b3
"Copyright (c) 2016-2024 EDM Council, Inc.",Entity,"Copyright (c) 2016-2024 EDM Council, Inc."
SecuritiesRegulation,Entity,SecuritiesRegulation
LegalObligation,Entity,LegalObligation
"investor that pools money to purchase securities, real property, and other investment assets or originates loans",Entity,"investor that pools money to purchase securities, real property, and other investment assets or originates loans"
"SecuritiesRestrictions.rdf version of this ontology was modified to move the property, 'is conferred on' to the Legal Capacity ontology and to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate.",Entity,"SecuritiesRestrictions.rdf version of this ontology was modified to move the property, 'is conferred on' to the Legal Capacity ontology and to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate."
InstitutionalInvestor,Entity,InstitutionalInvestor
SecuritiesRestrictions.rdf version of the ontology was modified to eliminate duplication of concepts in LCC.,Entity,SecuritiesRestrictions.rdf version of the ontology was modified to eliminate duplication of concepts in LCC.
SecuritiesRestrictions.rdf version of the ontology was modified to add a definition for institutional investor and move jurisdiction-specific definitions to new ontologies for those jurisdictions (SEC-113).,Entity,SecuritiesRestrictions.rdf version of the ontology was modified to add a definition for institutional investor and move jurisdiction-specific definitions to new ontologies for those jurisdictions (SEC-113).
owl#ObjectProperty,Entity,owl#ObjectProperty
LegallyCompetentNaturalPerson,Entity,LegallyCompetentNaturalPerson
ContractualCommitment,Entity,ContractualCommitment
"Copyright (c) 2018-2024 Object Management Group, Inc.",Entity,"Copyright (c) 2018-2024 Object Management Group, Inc."
N9f5dcceb62fa492aa962306d409174ea,Entity,N9f5dcceb62fa492aa962306d409174ea
SecuritiesRestrictions.rdf version of the ontology was modified to eliminate elements that have been deprecated over 6 months (FND-386).,Entity,SecuritiesRestrictions.rdf version of the ontology was modified to eliminate elements that have been deprecated over 6 months (FND-386).
FinancialInstrument,Entity,FinancialInstrument
securities regulation,Entity,securities regulation
QualifiedInvestorRestriction,Entity,QualifiedInvestorRestriction
N3380001e5c0b418c9dcda3ff44d114ac,Entity,N3380001e5c0b418c9dcda3ff44d114ac
Nbbd0eee2ce6b441093f30d4a9aaacbc2,Entity,Nbbd0eee2ce6b441093f30d4a9aaacbc2
N3942976e9aff404f93866b768a423e11,Entity,N3942976e9aff404f93866b768a423e11
appliesTo,Entity,appliesTo
TradingRestriction,Entity,TradingRestriction
investors' domicile restriction,Entity,investors' domicile restriction
Nc428a10b73ca449eaaedf89068045695,Entity,Nc428a10b73ca449eaaedf89068045695
hasHoldingPeriod,Entity,hasHoldingPeriod
"If a holding period is not defined, then the period for which the restriction applies is indefinite.",Entity,"If a holding period is not defined, then the period for which the restriction applies is indefinite."
Nc02fece962a148b496a2d4c10824ccc9,Entity,Nc02fece962a148b496a2d4c10824ccc9
SecuritiesRestrictions.rdf version of the ontology was modified to eliminate deprecations that are more than 6 months old.,Entity,SecuritiesRestrictions.rdf version of the ontology was modified to eliminate deprecations that are more than 6 months old.
trading restriction,Entity,trading restriction
Nf6ad75309ab147af947c83889236d5b2,Entity,Nf6ad75309ab147af947c83889236d5b2
Release,Entity,Release
,Entity,
legal holding restriction,Entity,legal holding restriction
LegalEntity,Entity,LegalEntity
SecuritiesRestrictions.rdf version of the ontology was modified to fix spelling errors.,Entity,SecuritiesRestrictions.rdf version of the ontology was modified to fix spelling errors.
hasRestriction,Entity,hasRestriction
contractual restriction,Entity,contractual restriction
Nb17e1b6302174ba39baf6840267c80d6,Entity,Nb17e1b6302174ba39baf6840267c80d6
legal holding restriction that defines the concept of a qualified investor for a given purpose and specifies that only such qualified investors may hold the security,Entity,legal holding restriction that defines the concept of a qualified investor for a given purpose and specifies that only such qualified investors may hold the security
SecuritiesRestriction,Entity,SecuritiesRestriction
isConferredBy,Entity,isConferredBy
institutional investor,Entity,institutional investor
N398cd7d3a62e44f0b8ad25833dcb9667,Entity,N398cd7d3a62e44f0b8ad25833dcb9667
N646876031ec6404f911d50942a9c4d09,Entity,N646876031ec6404f911d50942a9c4d09
isMandatedBy,Entity,isMandatedBy
