id,type,name
N908dd1d99a364725902fe6f6227e6163,Entity,N908dd1d99a364725902fe6f6227e6163
Nd8c2596797ea4dacabaaa9c726854077,Entity,Nd8c2596797ea4dacabaaa9c726854077
"a collection of investments (financial assets) such as stocks, bonds and cash equivalents, as well as mutual funds",Entity,"a collection of investments (financial assets) such as stocks, bonds and cash equivalents, as well as mutual funds"
Nd5dde791ea314eb18472daf329698d5f,Entity,Nd5dde791ea314eb18472daf329698d5f
"SecurityAssets.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate.",Entity,"SecurityAssets.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate."
isHeldBy,Entity,isHeldBy
isPartOf,Entity,isPartOf
"Portfolio holdings may cover a variety of investment products, including stocks, bonds and mutual funds to options, futures and exchange-traded funds, and relatively esoteric instruments such as private equity and hedge funds. 

The number and nature of holdings contribute to the degree of diversification of a portfolio. A mix of stocks across different sectors, bonds of different maturities, and other investments would suggest a well-diversified portfolio, while concentrated holdings in a handful of stocks within a single sector indicates a portfolio with limited diversification.",Entity,"Portfolio holdings may cover a variety of investment products, including stocks, bonds and mutual funds to options, futures and exchange-traded funds, and relatively esoteric instruments such as private equity and hedge funds. 

The number and nature of holdings contribute to the degree of diversification of a portfolio. A mix of stocks across different sectors, bonds of different maturities, and other investments would suggest a well-diversified portfolio, while concentrated holdings in a handful of stocks within a single sector indicates a portfolio with limited diversification."
portfolio holding,Entity,portfolio holding
portfolio.asp,Entity,portfolio.asp
Security Assets Ontology,Entity,Security Assets Ontology
Ne95f16364082442da49b8e9597ac6e5d,Entity,Ne95f16364082442da49b8e9597ac6e5d
hasPrice,Entity,hasPrice
22-rdf-syntax-ns#nil,Entity,22-rdf-syntax-ns#nil
Price,Entity,Price
N59e6ce8e72b4415db6bb2795b103b6ef,Entity,N59e6ce8e72b4415db6bb2795b103b6ef
Nd82b7104ab92495f8a0e9e652f2c6c3a,Entity,Nd82b7104ab92495f8a0e9e652f2c6c3a
has acquisition price,Entity,has acquisition price
owl#Restriction,Entity,owl#Restriction
isManagedBy,Entity,isManagedBy
PortfolioHolding,Entity,PortfolioHolding
Release,Entity,Release
Collection,Entity,Collection
,Entity,
owl#ObjectProperty,Entity,owl#ObjectProperty
holdings.asp,Entity,holdings.asp
"This ontology defines basic concepts such as portfolio, security holding and holder, and extends the notion of a financial asset to include an acquisition price.",Entity,"This ontology defines basic concepts such as portfolio, security holding and holder, and extends the notion of a financial asset to include an acquisition price."
hasAcquisitionPrice,Entity,hasAcquisitionPrice
owl#Class,Entity,owl#Class
N13d55fee2c1f44699ae731ba9868d37b,Entity,N13d55fee2c1f44699ae731ba9868d37b
N149d22ececf04b6cbea52a4964310422,Entity,N149d22ececf04b6cbea52a4964310422
"Copyright (c) 2016-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2016-2023 Object Management Group, Inc."
SecurityAssets.rdf version of this ontology was revised to eliminate duplication with concepts in LCC.,Entity,SecurityAssets.rdf version of this ontology was revised to eliminate duplication with concepts in LCC.
Nddb4977f139f4df889f29f43f073fe90,Entity,Nddb4977f139f4df889f29f43f073fe90
SecurityAssets.rdf version of this ontology was revised to simplify the contract party hierarchy and eliminate complexity introduced by 'security holding'.,Entity,SecurityAssets.rdf version of this ontology was revised to simplify the contract party hierarchy and eliminate complexity introduced by 'security holding'.
"Copyright (c) 2016-2023 EDM Council, Inc.",Entity,"Copyright (c) 2016-2023 EDM Council, Inc."
N550483a64d2d4bc290e98a75e5d605f9,Entity,N550483a64d2d4bc290e98a75e5d605f9
Ncc2b6c2612f847e9b5d69fab45e60f79,Entity,Ncc2b6c2612f847e9b5d69fab45e60f79
N4b1dd80288a64d60a5fe8c93a593d926,Entity,N4b1dd80288a64d60a5fe8c93a593d926
portfolio,Entity,portfolio
SecurityAssets.rdf version of this ontology was revised to address text formatting hygiene issues.,Entity,SecurityAssets.rdf version of this ontology was revised to address text formatting hygiene issues.
FinancialAsset,Entity,FinancialAsset
Investor,Entity,Investor
owl#Ontology,Entity,owl#Ontology
"has a value as of the date of acquisition, expressed as an amount of money or goods",Entity,"has a value as of the date of acquisition, expressed as an amount of money or goods"
SecurityAssets.rdf version of this ontology was revised to fix spelling errors.,Entity,SecurityAssets.rdf version of this ontology was revised to fix spelling errors.
Portfolio,Entity,Portfolio
comprises,Entity,comprises
Nbd8a283597d548b5a2521086d9bc0d56,Entity,Nbd8a283597d548b5a2521086d9bc0d56
SecurityAssets.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,Entity,SecurityAssets.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.
MIT,Entity,MIT
Nf4f6325183b044909e19daafc489fad4,Entity,Nf4f6325183b044909e19daafc489fad4
the contents of holding of one or more portfolios of investments held by an individual investor or entity,Entity,the contents of holding of one or more portfolios of investments held by an individual investor or entity
FinancialServiceProvider,Entity,FinancialServiceProvider
N2e99dcb49b5744bc91523408e5c0f4e9,Entity,N2e99dcb49b5744bc91523408e5c0f4e9
