id,type,name
N0f16da5152f64e4c859e6e53688715ac,Entity,N0f16da5152f64e4c859e6e53688715ac
CertificateOfDeposit,Entity,CertificateOfDeposit
AtADiscount,Entity,AtADiscount
TradedShortTermDebt.rdf version of this ontology was modified to clarify the definition of bill of exchange.,Entity,TradedShortTermDebt.rdf version of this ontology was modified to clarify the definition of bill of exchange.
Drawee,Entity,Drawee
owl#Restriction,Entity,owl#Restriction
N9ad3a4376f5a4d41863fecb9b9c7cc41,Entity,N9ad3a4376f5a4d41863fecb9b9c7cc41
hasRelativePriceAtMaturity,Entity,hasRelativePriceAtMaturity
"TradedShortTermDebt.rdf version of this ontology was modified to remove the subclass relationship with respect to fixed income from bankers' acceptance, make bill of exchange a subclass of money market instrument and fix spelling errors.",Entity,"TradedShortTermDebt.rdf version of this ontology was modified to remove the subclass relationship with respect to fixed income from bankers' acceptance, make bill of exchange a subclass of money market instrument and fix spelling errors."
isIssuedBy,Entity,isIssuedBy
1,Entity,1
party that is required to pay the amount stated on the bill of exchange to the payee,Entity,party that is required to pay the amount stated on the bill of exchange to the payee
money market instrument,Entity,money market instrument
isPlayedBy,Entity,isPlayedBy
MutualContractualAgreement,Entity,MutualContractualAgreement
MoneyMarketInstrument,Entity,MoneyMarketInstrument
hasPartyRole,Entity,hasPartyRole
"A bank in Japan or Singapore may accept dollar deposits, but these are still called Eurodollar deposits. The market also includes other currencies, so there are Eurosterling, Euroyen, Euroswiss, etc. Eurocurrency is the general term for any currency deposited in bank branches outside countries where it is the national currency.",Entity,"A bank in Japan or Singapore may accept dollar deposits, but these are still called Eurodollar deposits. The market also includes other currencies, so there are Eurosterling, Euroyen, Euroswiss, etc. Eurocurrency is the general term for any currency deposited in bank branches outside countries where it is the national currency."
hasRelativePriceAtIssue,Entity,hasRelativePriceAtIssue
MIT,Entity,MIT
N16b05d812fe2443db8da4f7f3ef07b97,Entity,N16b05d812fe2443db8da4f7f3ef07b97
"Commercial paper has a very-short to short maturity period (usually, 2 to 30 days, and rarely more than 270 days).",Entity,"Commercial paper has a very-short to short maturity period (usually, 2 to 30 days, and rarely more than 270 days)."
Nb62d1309a53f4865be04ab1d6cb7a6dd,Entity,Nb62d1309a53f4865be04ab1d6cb7a6dd
Bank,Entity,Bank
Traded Short-Term Debt Ontology,Entity,Traded Short-Term Debt Ontology
"Copyright (c) 2018-2024 EDM Council, Inc.",Entity,"Copyright (c) 2018-2024 EDM Council, Inc."
N5f39dfffce17471e8b88105465427652,Entity,N5f39dfffce17471e8b88105465427652
drawee,Entity,drawee
"These instruments usually are traded at a discount in organized markets; the discount is dependent upon the interest rate and the time remaining to maturity. Included are such instruments as treasury bills, commercial and financial paper, bankers' acceptances, negotiable certificates of deposit (with original maturities of one year or less), and short-term notes issued under note issuance facilities.",Entity,"These instruments usually are traded at a discount in organized markets; the discount is dependent upon the interest rate and the time remaining to maturity. Included are such instruments as treasury bills, commercial and financial paper, bankers' acceptances, negotiable certificates of deposit (with original maturities of one year or less), and short-term notes issued under note issuance facilities."
BillOfExchange,Entity,BillOfExchange
bill of exchange,Entity,bill of exchange
"Copyright (c) 2018-2024 Object Management Group, Inc.",Entity,"Copyright (c) 2018-2024 Object Management Group, Inc."
CommercialPaper,Entity,CommercialPaper
FixedIncomeSecurity,Entity,FixedIncomeSecurity
bank draft,Entity,bank draft
N4f1db758fd90440a8089978b27c3888e,Entity,N4f1db758fd90440a8089978b27c3888e
Nfc3aa9b426a940e480b4ba0ebd3f328d,Entity,Nfc3aa9b426a940e480b4ba0ebd3f328d
