id,type,name
LegalHoldingRestriction,Entity,LegalHoldingRestriction
"securities regulation that applies to broker-dealers registered under section 15(b) of the Securities Exchange Act of 1934 (15 U.S.C. 78o(b)), or that are security-based swap dealers or major security-based swap participants under section 15F(b) of the Act (15 U.S.C. 78o-10(b)), requiring them to maintain reserve accounts to protect customer funds, segregate customer securities in custody accounts, and if a security sold long has not been delivered within 10 business days after the settlement date, requires them to either buy the customer in, or apply for and receive an extension from its designated examining authority",Entity,"securities regulation that applies to broker-dealers registered under section 15(b) of the Securities Exchange Act of 1934 (15 U.S.C. 78o(b)), or that are security-based swap dealers or major security-based swap participants under section 15F(b) of the Act (15 U.S.C. 78o-10(b)), requiring them to maintain reserve accounts to protect customer funds, segregate customer securities in custody accounts, and if a security sold long has not been delivered within 10 business days after the settlement date, requires them to either buy the customer in, or apply for and receive an extension from its designated examining authority"
Rule 144A,Entity,Rule 144A
blue sky law,Entity,blue sky law
SECExemption3c7,Entity,SECExemption3c7
SEC Exemption 3(c)(7),Entity,SEC Exemption 3(c)(7)
or insured by an employer,Entity,or insured by an employer
alternative uptick rule,Entity,alternative uptick rule
owl#Restriction,Entity,owl#Restriction
is Employee Retirement Income Security Act conformant,Entity,is Employee Retirement Income Security Act conformant
SECRule15c3-3,Entity,SECRule15c3-3
owl#NamedIndividual,Entity,owl#NamedIndividual
UnitedStatesJurisdiction,Entity,UnitedStatesJurisdiction
"securities regulation that is a U.S. Treasury Regulation section 1.163-5(c)(2)(i)(D), or any successor regulation, established under the Tax Equity and Fiscal Responsibility Act of 1982 (TEFRA), that relates to the classification of debt obligations as either 'bearer' or 'registered' for U.S. tax purposes, applies to most straightforward issues of bearer debt in the Euromarkets, and ensures that an issue of bearer debt satisfied 'reasonable arrangement' requirements",Entity,"securities regulation that is a U.S. Treasury Regulation section 1.163-5(c)(2)(i)(D), or any successor regulation, established under the Tax Equity and Fiscal Responsibility Act of 1982 (TEFRA), that relates to the classification of debt obligations as either 'bearer' or 'registered' for U.S. tax purposes, applies to most straightforward issues of bearer debt in the Euromarkets, and ensures that an issue of bearer debt satisfied 'reasonable arrangement' requirements"
1002.,Entity,1002.
"Funds that meet the requirements of exemption 3(c)(7) are not required to register with the SEC or provide ongoing disclosure. They are also exempt from issuing a prospectus that would outline investment positions. To qualify for the exemption, a private investment company must demonstrate that it has no plans of making an initial public offering (IPO), and its investors must be qualified purchasers. Qualified purchasers include individuals or family-owned businesses with at least $5 million in investments, trusts managed by qualified purchasers, and entities solely owned by qualified purchasers.",Entity,"Funds that meet the requirements of exemption 3(c)(7) are not required to register with the SEC or provide ongoing disclosure. They are also exempt from issuing a prospectus that would outline investment positions. To qualify for the exemption, a private investment company must demonstrate that it has no plans of making an initial public offering (IPO), and its investors must be qualified purchasers. Qualified purchasers include individuals or family-owned businesses with at least $5 million in investments, trusts managed by qualified purchasers, and entities solely owned by qualified purchasers."
"Note that this property applies to the account rather than to the associated instrument that, if it exists, exemplifies the account.",Entity,"Note that this property applies to the account rather than to the associated instrument that, if it exists, exemplifies the account."
